163,select apstar_id from apogeestar where apogeestar.dec between .# and .# and apogeestar.ra between # and #
2019-02-26 18:49:00,1
2019-02-26 19:30:00,1
2019-02-26 19:31:00,1
2019-02-26 19:32:00,1
2019-02-26 19:34:00,1
2019-02-26 23:11:00,1
2019-02-26 23:12:00,1
2019-02-26 23:15:00,1
2019-02-26 23:16:00,1
2019-02-26 23:17:00,2
2019-02-26 23:18:00,1
2019-02-26 23:19:00,1
2019-02-26 23:39:00,1
2019-02-27 01:27:00,1
2019-02-27 01:29:00,1
2019-02-27 06:28:00,1
2019-02-27 11:16:00,4
2019-02-27 11:17:00,1
2019-02-27 12:22:00,1
2019-02-27 13:05:00,1
2019-02-27 13:27:00,1
2019-02-27 14:06:00,1
2019-02-27 14:07:00,2
2019-02-27 14:09:00,2
2019-02-28 03:23:00,2
2019-02-28 03:34:00,1
2019-02-28 03:35:00,1
2019-02-28 03:44:00,1
2019-02-28 03:58:00,2
2019-02-28 04:14:00,1
2019-02-28 04:56:00,3
2019-02-28 05:00:00,1
2019-02-28 06:25:00,2
2019-02-28 06:41:00,1
2019-02-28 07:05:00,1
2019-02-28 07:16:00,2
2019-02-28 07:43:00,1
2019-02-28 12:03:00,2
2019-03-01 10:23:00,1
2019-03-01 10:24:00,1
2019-03-02 02:41:00,1
2019-03-02 03:00:00,1
2019-03-02 03:29:00,1
2019-03-02 03:46:00,3
2019-03-03 14:28:00,1
2019-03-04 23:41:00,2
2019-03-05 05:45:00,1
2019-03-05 09:25:00,2
2019-03-05 09:33:00,1
2019-03-05 14:39:00,2
2019-03-05 17:42:00,1
2019-03-05 18:05:00,1
2019-03-05 18:06:00,1
2019-03-05 18:07:00,1
2019-03-05 18:08:00,1
2019-03-05 18:13:00,1
2019-03-05 18:23:00,9
2019-03-05 18:25:00,1
2019-03-05 18:27:00,3
2019-03-05 18:28:00,1
2019-03-05 18:30:00,2
2019-03-05 18:31:00,1
2019-03-05 20:05:00,4
2019-03-05 20:06:00,5
2019-03-05 21:12:00,3
2019-03-06 17:45:00,2
2019-03-07 23:27:00,1
2019-03-12 07:28:00,6
2019-03-14 03:19:00,1
2019-03-14 05:31:00,1
2019-03-14 07:29:00,2
2019-03-14 09:42:00,18
2019-03-14 09:50:00,12
2019-03-14 09:54:00,15
2019-03-14 10:40:00,1
2019-03-14 10:45:00,1
