22,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift, s.class FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND # AND s.class = GALAXY"
2019-02-26 06:28:00,1
2019-02-26 06:29:00,1
2019-02-26 06:31:00,2
2019-02-26 06:37:00,2
2019-02-26 06:38:00,1
2019-02-26 06:40:00,1
2019-02-26 06:42:00,2
2019-02-26 06:48:00,1
2019-02-26 06:50:00,2
2019-02-26 06:52:00,1
2019-02-26 06:53:00,1
2019-02-26 06:54:00,3
2019-02-26 07:01:00,3
2019-02-26 07:03:00,1
