96,select fieldid from field where cccol_u between -.# and .# and skyframes_r between .# and .#
2019-01-24 23:35:00,5
2019-01-24 23:37:00,3
2019-01-25 04:30:00,24
2019-01-25 04:31:00,36
2019-01-25 04:32:00,11
2019-01-25 04:33:00,4
2019-01-25 04:35:00,2
2019-01-25 04:36:00,2
2019-01-25 04:57:00,9
