111,"SELECT DISTINCT p.objID, p.ra, p.dec, p.raErr, p.decErr, p.fiberMag_u, p.fiberMagErr_u, p.fiberMag_g, p.fiberMagErr_g, p.fiberMag_r, p.fiberMagErr_r, p.fiberMag_i, p.fiberMagErr_i, p.fiberMag_z, p.fiberMagErr_z, p.mode, p.clean, p.type FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-03-02 21:12:00,2
2019-03-20 18:56:00,1
2019-03-20 20:10:00,1
2019-03-20 20:20:00,1
2019-03-20 20:23:00,1
2019-03-20 20:27:00,1
2019-03-20 22:07:00,1
2019-03-20 22:19:00,1
2019-03-20 22:22:00,1
2019-03-20 22:25:00,1
2019-03-22 21:27:00,1
2019-03-26 01:05:00,1
2019-03-27 20:58:00,1
2019-03-29 20:30:00,1
2019-03-29 20:36:00,1
2019-03-29 20:47:00,1
2019-03-29 20:53:00,1
2019-03-29 21:24:00,1
2019-03-29 21:52:00,1
2019-04-07 21:11:00,1
2019-04-07 21:15:00,1
2019-04-07 21:18:00,1
2019-04-07 21:21:00,1
2019-04-07 21:30:00,1
2019-04-10 18:47:00,1
2019-04-10 19:25:00,1
2019-04-10 19:27:00,1
2019-04-10 19:32:00,2
2019-04-10 19:34:00,1
2019-04-10 19:40:00,2
2019-04-10 19:42:00,1
2019-04-10 19:43:00,1
2019-04-10 19:50:00,1
2019-04-10 19:54:00,1
2019-04-10 19:55:00,1
2019-07-31 17:29:00,1
2019-07-31 18:08:00,1
2019-07-31 18:14:00,1
2019-08-13 04:03:00,2
2019-08-13 04:04:00,2
2019-08-13 22:18:00,2
2019-08-14 23:02:00,1
2019-08-15 21:14:00,3
2019-08-15 21:15:00,1
2019-08-15 22:16:00,1
2019-08-16 16:43:00,1
2019-08-19 22:15:00,1
2019-08-19 22:16:00,1
2019-08-19 22:31:00,1
2019-08-19 22:32:00,1
2019-08-20 16:43:00,1
2019-08-20 18:38:00,1
2019-08-20 19:23:00,1
2019-09-29 23:14:00,1
2019-10-04 20:00:00,1
2019-10-08 21:32:00,3
2019-10-11 11:59:00,1
2019-10-11 12:48:00,1
2019-10-14 08:20:00,1
2019-10-15 11:04:00,1
2019-11-14 01:31:00,3
2019-11-14 01:32:00,2
2019-11-14 01:33:00,2
2019-11-14 01:34:00,3
2019-11-14 01:35:00,3
2019-11-14 01:36:00,2
2019-11-14 01:37:00,2
2019-11-14 01:40:00,2
2019-11-14 01:41:00,3
2019-11-14 01:42:00,2
2019-11-14 01:43:00,2
2019-11-14 01:44:00,3
2019-11-14 01:45:00,2
2019-11-14 01:46:00,3
2019-11-14 01:47:00,1
2019-12-02 20:50:00,2
2019-12-11 04:03:00,1
2019-12-11 04:04:00,1
2019-12-11 06:08:00,1
2019-12-11 06:09:00,1
