234,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p WHERE n.objID = p.objID AND p.type = # ORDER BY n.distance ASC"
2019-10-29 19:52:00,1
2019-10-29 19:54:00,11
2019-10-29 19:55:00,33
2019-10-29 19:56:00,32
2019-10-29 19:57:00,11
2019-10-29 20:12:00,5
2019-10-29 20:13:00,32
2019-10-29 20:14:00,33
2019-10-29 20:15:00,3
2019-10-31 19:37:00,15
2019-10-31 19:38:00,24
2019-10-31 19:39:00,25
2019-10-31 19:40:00,9
