2,"SELECT ra, dec, u, g, r, i, z, err_u, err_g, err_r, err_i, err_z into mydb.MyTable from Star WHERE (i > #) and (i < #) and (type = #)"
2019-06-03 01:35:00,1
2019-06-03 01:45:00,1
