4,"SELECT SUBSTRING (Composer, #, #) AS initial, COUNT (COMPOSER) as count FROM chinook.Track GROUP BY Composer ORDER BY initial Desc"
2019-04-24 09:04:00,1
2019-04-24 09:05:00,3
