34,"SELECT DISTINCT p.ra, p.dec, p.objid, p.type, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-01-22 21:43:00,1
2019-01-23 09:55:00,1
2019-01-23 13:09:00,4
2019-01-23 13:10:00,1
2019-01-23 13:14:00,1
2019-01-23 14:54:00,5
2019-01-23 14:55:00,2
2019-01-30 07:37:00,1
2019-02-04 22:36:00,3
2019-03-11 21:30:00,1
2019-03-18 12:21:00,1
2019-05-10 15:44:00,1
2019-05-10 15:47:00,1
2019-05-11 07:32:00,1
2019-05-11 07:34:00,1
2019-05-11 07:37:00,1
2019-05-23 10:04:00,1
2019-07-23 14:45:00,1
2019-09-05 16:03:00,1
2019-11-14 09:47:00,1
2019-11-14 09:48:00,1
2019-11-14 12:00:00,1
2019-11-14 12:01:00,1
2019-12-02 14:34:00,1
