21,"SELECT up_id, dbo.fGetNearestObjIdAllEq (up_ra, up_dec, #) as objId FROM #upload WHERE dbo.fGetNearestObjIdAllEq (up_ra, up_dec, #) IS NOT # EXEC spExecuteSQL #'< a target = INFO href = http://skyserver.sdss.org/DR1#/en/tools/explore/obj.aspx? id = # + cast (x.objId as varchar (#) ) + #> #+ cast (x.objId as varchar (#) ) + #< /a> # as objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, dbo.fPhotoTypeN (p.type) as type, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN PhotoTag p ON p.objID = x.objID ORDER BY x.up_id ##', @log = #, @filter = #"
2019-02-13 12:42:00,2
2019-02-13 12:43:00,1
2019-02-24 13:57:00,1
2019-03-08 09:56:00,1
2019-05-10 09:55:00,1
2019-06-26 22:20:00,1
2019-06-27 16:11:00,1
2019-07-19 16:30:00,1
2019-07-19 16:31:00,1
2019-08-10 13:21:00,1
2019-08-13 07:52:00,1
2019-09-16 18:23:00,1
2019-09-16 18:25:00,1
2019-09-20 11:09:00,1
2019-09-20 11:21:00,1
2019-09-25 02:17:00,1
2019-10-23 20:38:00,2
2019-11-04 14:08:00,1
2019-12-19 22:55:00,1
