16,"SELECT TOP # soa.specObjID, soa.ra, soa.dec, soa.z, soa.cx, soa.cy, soa.cz, poa.modelmag_r, poa.r, poa.u, poa.g, poa.i FROM SpecObjAll as soa, PhotoObjAll as poa WHERE soa.specObjID = poa.specObjID AND soa.z> #"
2019-10-02 18:24:00,1
2019-10-02 18:37:00,1
2019-10-02 18:40:00,1
2019-10-02 18:42:00,1
2019-10-02 18:43:00,1
2019-10-02 18:51:00,1
2019-10-02 18:54:00,1
2019-10-02 19:00:00,1
2019-10-02 19:02:00,1
2019-10-02 19:04:00,1
2019-10-02 19:05:00,1
2019-10-02 19:06:00,1
2019-10-02 19:11:00,2
2019-10-02 19:20:00,1
2019-12-03 13:33:00,1
