2,"SELECT p.objid, p.ra, p.dec, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, p.field FROM Galaxy AS p WHERE p.ra BETWEEN # AND # and p.dec BETWEEN # AND # and p.modelMag_r < #"
2019-06-06 03:25:00,1
2019-06-06 03:28:00,1
