2,"select --top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift from galaxy p, specobj s where p.objid = s.bestobjid and s.class = # and s.sourceType = # and p.ra > # and p.ra < # and p.dec > # and p.dec < # order by redshift desc"
2019-06-17 02:32:00,1
2019-06-17 02:34:00,1
