19,"SELECT p.specobjid, p.objid, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, s.z, psffwhm_g, psffwhm_r, psffwhm_i, p.expRad_g, p.expRad_r, p.expRad_i, p.expAB_g, p.expAB_r, p.expAB_i, p.expPhi_g, p.expPhi_r, p.expPhi_i, p.fiberFlux_g, p.fiberFlux_r, p.fiberFlux_i FROM PhotoSecondary AS p JOIN SpecPhoto AS s ON s.specobjid = p.specobjid WHERE p.specobjid = #"
2019-01-23 06:12:00,1
2019-01-23 06:17:00,1
2019-01-23 06:20:00,1
2019-01-23 06:34:00,1
2019-01-23 06:51:00,1
2019-01-23 06:52:00,1
2019-01-23 07:11:00,1
2019-01-23 07:15:00,1
2019-01-23 07:33:00,1
2019-01-23 07:37:00,1
2019-01-23 08:15:00,1
2019-01-25 04:20:00,1
2019-01-25 04:24:00,1
2019-01-25 04:50:00,2
2019-01-25 04:53:00,1
2019-01-25 04:58:00,3
