2,"SELECT SUBSTRING (Composer, #, #) AS initial, COUNT (SUBSTRING (Composer, #, #) ) as count FROM chinook.Track GROUP BY Composer ORDER BY initial Desc"
2019-04-24 08:59:00,1
2019-04-24 09:03:00,1
