6782,"INSERT INTO [VARIABLES] VALUES (#, #, #, #, #, #, #, #, #, #)"
2019-10-30 04:34:00,21
2019-10-30 04:35:00,70
2019-10-30 04:36:00,71
2019-10-30 04:37:00,72
2019-10-30 04:38:00,72
2019-10-30 04:39:00,72
2019-10-30 04:40:00,70
2019-10-30 04:41:00,71
2019-10-30 04:42:00,73
2019-10-30 04:43:00,70
2019-10-30 04:44:00,69
2019-10-30 04:45:00,71
2019-10-30 04:46:00,72
2019-10-30 04:47:00,73
2019-10-30 04:48:00,62
2019-10-30 04:49:00,70
2019-10-30 04:50:00,69
2019-10-30 04:51:00,68
2019-10-30 04:52:00,74
2019-10-30 04:53:00,68
2019-10-30 04:54:00,67
2019-10-30 04:55:00,69
2019-10-30 04:56:00,70
2019-10-30 04:57:00,72
2019-10-30 04:58:00,71
2019-10-30 04:59:00,70
2019-10-30 05:00:00,63
2019-10-30 05:01:00,71
2019-10-30 05:02:00,70
2019-10-30 05:03:00,71
2019-10-30 05:04:00,72
2019-10-30 05:05:00,67
2019-10-30 05:06:00,73
2019-10-30 05:07:00,70
2019-10-30 05:08:00,73
2019-10-30 05:09:00,71
2019-10-30 05:10:00,74
2019-10-30 05:11:00,70
2019-10-30 05:12:00,73
2019-10-30 05:13:00,72
2019-10-30 05:14:00,70
2019-10-30 05:15:00,69
2019-10-30 05:16:00,71
2019-10-30 05:17:00,71
2019-10-30 05:18:00,70
2019-10-30 05:19:00,72
2019-10-30 05:20:00,70
2019-10-30 05:21:00,72
2019-10-30 05:22:00,72
2019-10-30 05:23:00,72
2019-10-30 05:24:00,70
2019-10-30 05:25:00,72
2019-10-30 05:26:00,70
2019-10-30 05:27:00,66
2019-10-30 05:28:00,71
2019-10-30 05:29:00,72
2019-10-30 05:30:00,72
2019-10-30 05:31:00,65
2019-10-30 05:32:00,68
2019-10-30 05:33:00,73
2019-10-30 05:34:00,71
2019-10-30 05:35:00,70
2019-10-30 05:36:00,71
2019-10-30 05:37:00,69
2019-10-30 05:38:00,74
2019-10-30 05:39:00,71
2019-10-30 05:40:00,70
2019-10-30 05:41:00,68
2019-10-30 05:42:00,72
2019-10-30 05:43:00,72
2019-10-30 05:44:00,68
2019-10-30 05:45:00,71
2019-10-30 05:46:00,69
2019-10-30 05:47:00,72
2019-10-30 05:48:00,69
2019-10-30 05:49:00,70
2019-10-30 05:50:00,73
2019-10-30 05:51:00,72
2019-10-30 05:52:00,73
2019-10-30 05:53:00,72
2019-10-30 05:54:00,72
2019-10-30 05:55:00,72
2019-10-30 05:56:00,73
2019-10-30 05:57:00,70
2019-10-30 05:58:00,73
2019-10-30 05:59:00,72
2019-10-30 06:00:00,63
2019-10-30 06:01:00,68
2019-10-30 06:02:00,71
2019-10-30 06:03:00,69
2019-10-30 06:04:00,71
2019-10-30 06:05:00,71
2019-10-30 06:06:00,73
2019-10-30 06:07:00,68
2019-10-30 06:08:00,72
2019-10-30 06:09:00,70
2019-10-30 06:10:00,62
