3,"SELECT s.specObjID, s.plate, s.mjd, s.fiberID, s.ra, s.dec, s.z FROM SpecObj AS s WHERE (s.z < #) AND (s.Class = # OR (s.Class = # AND s.subClass = #) OR (s.Class = # AND s.subClass = #) )"
2019-01-23 22:59:00,1
2019-01-23 23:05:00,2
