2,"SELECT TOP # p.modelFlux_g as model_flux, s.z as redshift, modelFluxIvar_g as model_flux_error, s.zErr as redshift_error FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND s.z BETWEEN # AND # AND p.modelFlux_g > # AND s.zErr BETWEEN # AND # AND (s.class = # OR s.class = #)"
2019-07-27 15:48:00,1
2019-07-27 15:50:00,1
