15,"SELECT p.ra, p.dec, p.z, dbo.fPhotoTypeN (sp.type) as photo_type, str (p.modelMag_u, #, #) as u, str (p.modelMagErr_u, #, #) as err_u, str (p.extinction_u, #, #) as ux, str (p.modelMag_g, #, #) as g, str (p.modelMagErr_g, #, #) as err_g, str (p.extinction_g, #, #) as gx, str (p.modelMag_r, #, #) as r, str (p.modelMagErr_r, #, #) as err_r, str (p.extinction_r, #, #) as rx, str (p.modelMag_i, #, #) as i, str (p.modelMagErr_i, #, #) as err_i, str (p.extinction_i, #, #) as ix, str (p.modelMag_z, #, #) as z, str (p.modelMagErr_z, #, #) as err_z, str (p.extinction_z, #, #) as zx, pz.absMagR, sp.plate, sp.mjd, sp.fiberid, str (sp.z, #, #) as spec_z, str (pz.z, #, #) as phot_z FROM PhotoObjAll as p into MyDB.ravi JOIN SpecPhotoAll AS sp ON sp.objID = p.objID JOIN Photoz AS pz ON pz.objID = p.objID WHERE (sp.z > = # and sp.z < = #) OR (pz.z > = # and pz.z < =#)"
2019-07-02 07:05:00,1
2019-07-02 07:30:00,1
2019-07-02 07:40:00,1
2019-07-02 07:56:00,1
2019-07-02 13:06:00,1
2019-07-02 13:08:00,2
2019-07-02 13:10:00,2
2019-07-02 13:13:00,1
2019-07-02 13:18:00,1
2019-07-02 13:22:00,1
2019-07-02 13:25:00,1
2019-07-02 13:26:00,1
2019-07-02 13:28:00,1
