28,select * from eROSITA_DE.jhaase.COSMOS_OPTICAL
2019-10-08 05:25:00,2
2019-10-08 05:26:00,2
2019-10-10 11:11:00,1
2019-10-10 11:22:00,1
2019-10-11 05:03:00,1
2019-10-11 05:06:00,2
2019-10-11 05:07:00,5
2019-10-11 05:08:00,2
2019-10-11 05:10:00,1
2019-10-11 05:11:00,1
2019-10-11 05:17:00,1
2019-11-04 10:13:00,1
2019-11-05 04:03:00,1
2019-11-05 04:07:00,1
2019-11-05 04:16:00,1
2019-11-05 07:49:00,1
2019-11-05 08:06:00,1
2019-11-05 09:48:00,1
2019-11-05 10:56:00,1
2019-11-05 11:07:00,1
