49,"select p.objid, p.ra, p.dec, s.z as redshift from galaxy p, specobj s, dbo.fGetObjFromRect (#, #, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid and s.z BETWEEN # AND #"
2019-12-06 16:26:00,1
2019-12-06 16:30:00,1
2019-12-06 16:31:00,1
2019-12-06 16:50:00,1
2019-12-07 06:52:00,1
2019-12-07 06:56:00,1
2019-12-07 06:58:00,1
2019-12-07 07:01:00,1
2019-12-07 07:02:00,2
2019-12-07 07:06:00,1
2019-12-07 07:23:00,1
2019-12-07 07:25:00,2
2019-12-07 07:26:00,1
2019-12-07 16:19:00,1
2019-12-11 10:27:00,1
2019-12-11 10:28:00,1
2019-12-11 10:29:00,2
2019-12-11 10:30:00,1
2019-12-11 10:31:00,1
2019-12-11 10:33:00,2
2019-12-11 10:34:00,3
2019-12-11 10:35:00,2
2019-12-11 10:36:00,1
2019-12-11 10:37:00,2
2019-12-11 10:38:00,2
2019-12-11 10:39:00,1
2019-12-11 10:40:00,2
2019-12-11 10:47:00,1
2019-12-11 10:48:00,1
2019-12-31 14:43:00,1
2019-12-31 14:45:00,2
2019-12-31 14:46:00,1
2019-12-31 14:47:00,1
2019-12-31 14:50:00,2
2019-12-31 14:52:00,1
2019-12-31 14:53:00,1
2019-12-31 14:57:00,1
