83,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, p.petroMag_z, p.petroMagErr_u, p.petroMagErr_g, p.petroMagErr_r, p.petroMagErr_i, p.petroMagErr_z FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-01-03 13:17:00,1
2019-01-03 13:25:00,1
2019-01-03 15:24:00,1
2019-01-05 00:52:00,1
2019-01-07 02:02:00,1
2019-01-21 02:27:00,1
2019-01-21 02:28:00,1
2019-01-21 02:31:00,1
2019-01-25 03:46:00,1
2019-01-25 03:50:00,1
2019-01-26 22:10:00,1
2019-02-02 17:33:00,1
2019-03-15 16:00:00,1
2019-03-15 16:44:00,1
2019-03-15 17:08:00,1
2019-03-15 18:14:00,1
2019-03-15 18:46:00,1
2019-05-07 21:02:00,1
2019-05-07 21:03:00,1
2019-05-07 22:38:00,1
2019-05-07 22:59:00,3
2019-05-07 23:00:00,1
2019-05-07 23:02:00,1
2019-05-07 23:03:00,2
2019-05-07 23:05:00,1
2019-05-08 02:00:00,1
2019-05-08 02:02:00,1
2019-05-08 02:03:00,1
2019-05-08 02:07:00,2
2019-05-08 02:08:00,1
2019-05-08 02:11:00,1
2019-05-08 02:12:00,1
2019-05-08 02:14:00,2
2019-05-08 02:15:00,1
2019-05-08 02:17:00,1
2019-05-08 02:21:00,1
2019-05-08 02:25:00,1
2019-05-08 02:26:00,1
2019-05-08 02:27:00,2
2019-05-08 02:28:00,1
2019-05-08 02:29:00,1
2019-05-08 02:31:00,1
2019-05-08 02:33:00,1
2019-05-08 02:35:00,1
2019-05-08 02:36:00,1
2019-05-08 02:39:00,1
2019-05-08 02:40:00,1
2019-05-08 02:41:00,1
2019-05-08 02:42:00,1
2019-05-08 02:43:00,1
2019-05-08 02:44:00,1
2019-05-08 02:45:00,1
2019-05-08 02:46:00,1
2019-05-08 02:47:00,1
2019-05-08 02:49:00,1
2019-05-08 02:50:00,1
2019-05-08 02:51:00,1
2019-05-08 02:52:00,2
2019-05-08 02:53:00,1
2019-05-08 02:54:00,1
2019-05-08 02:56:00,1
2019-05-08 02:57:00,1
2019-05-08 02:59:00,1
2019-05-13 23:35:00,1
2019-05-13 23:48:00,1
2019-05-13 23:49:00,1
2019-05-13 23:52:00,1
2019-05-14 02:57:00,1
2019-05-22 15:01:00,1
2019-06-14 04:36:00,1
2019-06-17 15:31:00,1
2019-06-21 17:30:00,1
2019-06-22 21:05:00,1
2019-06-23 12:12:00,1
2019-06-28 15:23:00,1
2019-06-28 16:17:00,1
