146,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM ..SpecObj as s JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.zWarning = # AND (s.class = #)"
2019-01-01 04:43:00,1
2019-01-14 16:16:00,1
2019-01-15 15:24:00,3
2019-01-24 08:24:00,1
2019-01-24 16:50:00,1
2019-01-26 13:33:00,1
2019-01-26 13:34:00,1
2019-01-29 10:56:00,1
2019-01-30 16:17:00,1
2019-01-30 16:18:00,1
2019-01-30 16:19:00,1
2019-01-30 18:08:00,1
2019-01-30 18:10:00,1
2019-02-01 03:35:00,1
2019-02-08 09:22:00,1
2019-02-12 03:46:00,1
2019-02-12 03:47:00,1
2019-02-12 12:33:00,1
2019-02-17 05:12:00,1
2019-02-23 16:33:00,1
2019-02-23 16:35:00,1
2019-02-25 08:23:00,1
2019-02-28 05:34:00,1
2019-02-28 19:24:00,1
2019-02-28 19:26:00,1
2019-02-28 19:31:00,2
2019-03-08 05:49:00,1
2019-03-09 18:34:00,1
2019-03-15 09:38:00,1
2019-03-18 10:26:00,1
2019-03-18 10:27:00,2
2019-03-18 10:43:00,1
2019-03-19 22:04:00,1
2019-03-20 13:16:00,1
2019-04-03 18:39:00,1
2019-04-03 18:41:00,1
2019-04-13 01:15:00,1
2019-04-13 02:20:00,1
2019-04-25 10:41:00,1
2019-04-25 22:59:00,1
2019-04-25 23:00:00,3
2019-04-25 23:02:00,1
2019-05-01 18:13:00,1
2019-05-01 18:19:00,1
2019-05-01 21:55:00,1
2019-05-02 12:34:00,1
2019-05-02 12:40:00,1
2019-05-07 08:15:00,1
2019-05-07 19:40:00,1
2019-05-09 03:51:00,1
2019-05-11 00:28:00,1
2019-05-11 00:30:00,1
2019-05-11 00:37:00,1
2019-05-18 13:47:00,1
2019-05-19 04:16:00,1
2019-05-19 04:17:00,1
2019-05-25 22:09:00,1
2019-05-25 22:10:00,1
2019-05-26 09:08:00,1
2019-05-26 09:19:00,2
2019-06-04 15:10:00,1
2019-06-04 15:11:00,1
2019-06-05 20:40:00,1
2019-06-09 08:04:00,1
2019-06-10 20:01:00,1
2019-06-19 23:34:00,1
2019-06-19 23:35:00,1
2019-07-03 07:25:00,1
2019-07-05 12:41:00,1
2019-07-06 19:18:00,2
2019-07-06 19:21:00,1
2019-07-06 19:23:00,1
2019-07-31 08:52:00,1
2019-08-13 07:22:00,1
2019-08-22 20:13:00,1
2019-09-05 12:38:00,1
2019-09-12 19:08:00,1
2019-09-12 19:09:00,1
2019-09-16 01:27:00,1
2019-09-16 09:24:00,1
2019-09-16 09:26:00,1
2019-09-30 21:52:00,1
2019-10-06 08:46:00,1
2019-10-06 21:27:00,1
2019-10-09 08:12:00,1
2019-10-10 03:23:00,1
2019-10-16 14:34:00,1
2019-10-16 16:27:00,1
2019-10-29 15:10:00,1
2019-10-30 15:50:00,2
2019-11-01 11:15:00,1
2019-11-01 11:19:00,1
2019-11-01 15:39:00,1
2019-11-11 19:30:00,1
2019-11-11 19:46:00,1
2019-11-13 18:42:00,1
2019-11-13 19:26:00,1
2019-11-13 20:34:00,1
2019-11-13 20:39:00,1
2019-11-13 20:41:00,2
2019-11-13 20:43:00,1
2019-11-13 20:51:00,2
2019-11-13 20:52:00,2
2019-11-18 18:22:00,1
2019-11-18 18:24:00,5
2019-11-18 18:25:00,1
2019-11-18 18:27:00,1
2019-11-18 18:28:00,1
2019-11-18 18:30:00,2
2019-11-18 18:31:00,1
2019-11-18 18:32:00,1
2019-11-18 18:33:00,1
2019-11-19 18:36:00,1
2019-11-21 18:41:00,1
2019-11-26 10:24:00,1
2019-12-03 01:02:00,1
2019-12-03 07:53:00,1
2019-12-03 07:57:00,1
2019-12-03 08:12:00,1
2019-12-03 08:21:00,1
2019-12-04 21:26:00,1
2019-12-05 03:08:00,2
2019-12-06 15:33:00,1
2019-12-11 22:10:00,1
2019-12-11 22:11:00,1
2019-12-14 01:20:00,1
2019-12-15 01:07:00,1
2019-12-19 06:18:00,1
