13,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND # SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND #"
2019-05-20 04:51:00,1
2019-07-09 16:52:00,1
2019-07-09 16:53:00,1
2019-07-09 16:54:00,1
2019-07-09 17:01:00,1
2019-07-09 17:09:00,1
2019-07-09 17:12:00,1
2019-07-09 17:13:00,1
2019-07-09 17:22:00,1
2019-07-09 17:24:00,1
2019-07-09 17:36:00,1
2019-07-09 17:59:00,1
2019-07-09 18:01:00,1
