95,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM ..SpecObj as s JOIN dbo.fGetObjFromRect (#, #, #, #) AS b ON s.bestobjid = b.objID WHERE s.z > # AND s.zWarning = # AND (s.class = #) AND s.z < # AND (s.boss_target1 & (dbo.fBossTarget1 (#) ) ! = #)"
2019-01-18 15:54:00,1
2019-01-18 15:55:00,2
2019-01-21 15:32:00,1
2019-01-21 15:33:00,1
2019-01-21 15:45:00,1
2019-01-21 15:56:00,1
2019-01-21 16:01:00,1
2019-01-21 16:02:00,1
2019-01-21 16:07:00,1
2019-01-21 16:09:00,1
2019-01-21 16:10:00,2
2019-01-21 16:12:00,1
2019-01-21 16:15:00,1
2019-01-21 16:18:00,1
2019-01-21 16:21:00,1
2019-01-21 16:28:00,1
2019-01-21 16:31:00,2
2019-01-21 16:32:00,2
2019-01-21 16:33:00,1
2019-01-21 16:34:00,1
2019-01-21 16:35:00,1
2019-01-21 16:36:00,1
2019-01-21 16:42:00,1
2019-01-21 16:43:00,1
2019-01-21 16:45:00,1
2019-01-21 16:49:00,1
2019-01-21 16:52:00,1
2019-01-21 16:53:00,1
2019-01-21 16:57:00,2
2019-01-21 16:59:00,1
2019-01-21 17:03:00,1
2019-01-21 18:36:00,1
2019-01-21 18:50:00,1
2019-01-21 18:54:00,1
2019-01-21 18:55:00,1
2019-01-21 19:00:00,1
2019-01-21 19:02:00,1
2019-01-21 19:04:00,1
2019-01-21 19:09:00,1
2019-01-21 19:11:00,1
2019-01-21 19:22:00,1
2019-01-21 19:24:00,1
2019-01-21 19:27:00,1
2019-01-21 19:30:00,1
2019-01-21 19:32:00,1
2019-01-21 19:33:00,2
2019-01-21 19:51:00,1
2019-01-21 19:53:00,1
2019-01-21 19:57:00,1
2019-01-21 19:59:00,1
2019-01-21 20:07:00,1
2019-01-21 20:09:00,1
2019-01-21 20:15:00,2
2019-01-21 20:18:00,2
2019-01-21 20:21:00,1
2019-01-21 20:22:00,1
2019-01-21 20:25:00,3
2019-01-21 20:28:00,2
2019-01-21 20:31:00,2
2019-01-21 20:33:00,1
2019-01-21 20:34:00,3
2019-01-21 20:37:00,1
2019-01-21 20:39:00,1
2019-01-21 20:45:00,1
2019-01-21 20:47:00,1
2019-01-21 20:51:00,2
2019-01-21 20:53:00,1
2019-01-21 20:55:00,1
2019-01-21 21:10:00,1
2019-01-21 21:12:00,1
2019-01-21 21:20:00,1
2019-01-21 21:22:00,1
2019-01-21 21:29:00,1
2019-01-21 21:31:00,1
2019-01-21 21:35:00,1
2019-01-21 21:37:00,1
2019-01-21 22:08:00,2
2019-01-21 22:10:00,1
2019-01-21 22:11:00,1
