3,"SELECT p.ra, p.dec, p.psfmag_r FROM PhotoPrimary p WHERE p.psfmag_r < # AND p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.type = = #"
2019-12-08 20:14:00,2
2019-12-08 20:24:00,1
