44,"select top # p.objid, p.ra, p.dec from photoobj p"
2019-01-20 06:03:00,2
2019-01-20 06:04:00,1
2019-02-10 15:13:00,1
2019-02-14 10:39:00,1
2019-03-07 21:48:00,1
2019-03-07 21:49:00,1
2019-03-07 21:50:00,2
2019-03-11 20:53:00,2
2019-03-20 12:19:00,1
2019-03-25 21:51:00,3
2019-03-25 21:52:00,1
2019-03-26 07:53:00,1
2019-04-13 00:51:00,1
2019-04-17 04:51:00,1
2019-07-08 14:27:00,1
2019-07-08 15:18:00,1
2019-07-12 17:47:00,1
2019-07-12 17:48:00,1
2019-07-12 17:57:00,2
2019-07-22 14:27:00,1
2019-07-31 07:52:00,1
2019-07-31 07:53:00,1
2019-08-29 16:59:00,1
2019-09-03 01:05:00,1
2019-09-05 02:10:00,1
2019-09-13 00:26:00,1
2019-09-20 18:36:00,1
2019-10-03 23:06:00,1
2019-10-05 08:10:00,1
2019-10-05 08:11:00,1
2019-10-10 18:47:00,1
2019-10-15 12:31:00,1
2019-11-08 19:44:00,1
2019-11-19 21:39:00,1
2019-11-23 04:43:00,1
2019-12-03 16:55:00,1
2019-12-04 09:58:00,1
2019-12-05 04:49:00,1
