862,select objid from photoprimary where photoprimary.dec between .# and # and photoprimary.ra between # and #
2019-03-03 21:17:00,2
2019-03-03 21:18:00,3
2019-03-03 21:19:00,3
2019-03-03 21:20:00,1
2019-03-03 21:21:00,3
2019-03-03 21:22:00,2
2019-03-03 21:25:00,3
2019-03-03 21:26:00,2
2019-03-03 22:36:00,1
2019-03-03 22:38:00,1
2019-03-03 22:39:00,1
2019-03-03 22:41:00,1
2019-03-03 22:45:00,1
2019-03-03 22:46:00,2
2019-03-03 22:47:00,2
2019-03-03 22:48:00,3
2019-03-03 22:49:00,3
2019-03-03 22:50:00,1
2019-03-03 23:47:00,1
2019-03-03 23:52:00,1
2019-03-03 23:56:00,1
2019-03-03 23:59:00,1
2019-03-04 00:57:00,4
2019-03-04 00:58:00,2
2019-03-04 00:59:00,3
2019-03-04 01:00:00,3
2019-03-04 01:02:00,1
2019-03-04 01:03:00,1
2019-03-04 01:04:00,4
2019-03-04 01:05:00,1
2019-03-04 01:06:00,2
2019-03-04 01:07:00,1
2019-03-04 01:08:00,2
2019-03-04 01:09:00,2
2019-03-04 02:08:00,2
2019-03-04 02:09:00,3
2019-03-04 02:10:00,4
2019-03-04 02:11:00,2
2019-03-04 02:12:00,3
2019-03-04 02:13:00,1
2019-03-04 02:15:00,1
2019-03-04 05:53:00,2
2019-03-04 05:54:00,3
2019-03-04 05:55:00,1
2019-03-04 05:56:00,5
2019-03-04 05:57:00,1
2019-03-04 05:59:00,2
2019-03-04 06:01:00,1
2019-03-04 06:03:00,2
2019-03-04 06:04:00,1
2019-03-04 06:05:00,1
2019-03-04 06:09:00,1
2019-03-04 06:10:00,1
2019-03-04 06:11:00,1
2019-03-04 06:17:00,1
2019-03-04 06:23:00,1
2019-03-04 06:24:00,2
2019-03-04 06:25:00,2
2019-03-04 06:26:00,1
2019-03-04 06:28:00,1
2019-03-04 06:30:00,1
2019-03-04 06:35:00,3
2019-03-04 06:36:00,1
2019-03-04 06:38:00,1
2019-03-04 06:39:00,2
2019-03-04 06:40:00,1
2019-03-04 06:45:00,1
2019-03-04 06:46:00,1
2019-03-04 06:47:00,1
2019-03-04 06:48:00,1
2019-03-04 07:19:00,1
2019-03-04 07:21:00,1
2019-03-04 07:24:00,2
2019-03-04 07:28:00,1
2019-03-04 07:29:00,1
2019-03-04 07:30:00,1
2019-03-04 07:32:00,1
2019-03-04 08:26:00,1
2019-03-04 08:35:00,2
2019-03-04 08:37:00,1
2019-03-04 15:35:00,4
2019-03-04 15:39:00,1
2019-03-04 15:41:00,1
2019-03-04 15:43:00,1
2019-03-04 15:45:00,2
2019-03-04 15:49:00,2
2019-03-04 15:50:00,1
2019-03-04 15:54:00,2
2019-03-04 15:55:00,2
2019-03-04 15:57:00,1
2019-03-04 16:00:00,1
2019-03-04 16:02:00,1
2019-03-04 16:04:00,1
2019-03-04 16:07:00,1
2019-03-04 16:09:00,1
2019-03-04 16:10:00,1
2019-03-04 16:14:00,1
2019-03-04 16:19:00,1
2019-03-04 17:07:00,1
2019-03-04 17:11:00,1
2019-03-04 17:17:00,1
2019-03-04 17:26:00,1
2019-03-04 18:47:00,1
2019-03-04 18:49:00,1
2019-03-04 18:50:00,1
2019-03-04 18:53:00,1
2019-03-04 20:02:00,2
2019-03-04 20:12:00,1
2019-03-04 20:16:00,1
2019-03-04 20:18:00,1
2019-03-04 20:26:00,1
2019-03-04 20:52:00,3
2019-03-04 20:53:00,1
2019-03-04 20:56:00,1
2019-03-04 20:57:00,2
2019-03-04 21:17:00,5
2019-03-04 21:18:00,1
2019-03-04 21:19:00,3
2019-03-04 21:20:00,4
2019-03-04 21:21:00,3
2019-03-04 21:22:00,2
2019-03-04 21:23:00,2
2019-03-04 21:24:00,3
2019-03-04 21:25:00,3
2019-03-04 21:26:00,1
2019-03-04 21:27:00,4
2019-03-04 21:28:00,7
2019-03-04 21:29:00,4
2019-03-04 21:30:00,4
2019-03-04 21:31:00,2
2019-03-04 21:32:00,3
2019-03-04 21:33:00,4
2019-03-04 21:34:00,1
2019-03-04 23:10:00,2
2019-03-04 23:23:00,1
2019-03-04 23:29:00,3
2019-03-04 23:39:00,1
2019-03-04 23:41:00,1
2019-03-04 23:50:00,1
2019-03-05 00:03:00,2
2019-03-05 04:08:00,3
2019-03-05 04:09:00,1
2019-03-05 04:10:00,1
2019-03-05 04:11:00,2
2019-03-05 04:12:00,2
2019-03-05 04:13:00,2
2019-03-05 04:14:00,1
2019-03-05 04:16:00,2
2019-03-05 04:17:00,2
2019-03-05 04:18:00,1
2019-03-05 05:50:00,1
2019-03-05 08:40:00,1
2019-03-05 08:48:00,2
2019-03-05 09:21:00,1
2019-03-05 10:09:00,3
2019-03-05 18:02:00,2
2019-03-05 18:39:00,1
2019-03-05 19:01:00,1
2019-03-05 19:11:00,1
2019-03-05 19:42:00,1
2019-03-05 19:54:00,1
2019-03-06 06:35:00,1
2019-03-06 09:32:00,1
2019-03-06 10:39:00,1
2019-03-06 11:57:00,1
2019-03-06 12:02:00,1
2019-03-06 12:43:00,1
2019-03-06 12:47:00,2
2019-03-06 12:50:00,1
