54,"SELECT TOP # p.g, p.r, p.u, p.i, p.z, p.dered_g, p.dered_r, p.l, p.b, p.extinction_g, p.extinction_r, p.extinction_u, p.extinction_i, p.extinction_z, p.clean FROM PhotoPrimary as p WHERE p.clean = # and (b BETWEEN # and #) and (l BETWEEN # and #)"
2019-03-07 10:24:00,8
2019-03-07 10:25:00,10
2019-03-07 10:47:00,18
2019-04-04 10:43:00,16
2019-04-04 10:44:00,2
