21,"SELECT TOP # p.objid, s.specobjid, p.ra, p.dec, s.z as redshift, p.u, p.g, p.r, p.i, p.z, g.h_alpha_flux as haflux, g.h_alpha_flux_err as haflerr, g.nii_#_flux as niiflux, g.nii_#_flux_err as niifluxerr FROM GalSpecLine AS g JOIN SpecObj AS s ON s.specobjid = g.specobjid JOIN PhotoObj AS p ON p.objid = s.bestobjid WHERE p.r BETWEEN # AND # AND s.z BETWEEN # AND # AND g.h_alpha_flux > #*g.h_alpha_flux_err AND g.h_alpha_flux_err > # AND g.nii_#_flux > #*g.nii_#_flux_err AND g.nii_#_flux_err > # AND s.class = GALAXY AND s.zwarning = #"
2019-04-05 16:21:00,1
2019-04-05 16:22:00,1
2019-04-05 16:26:00,2
2019-04-05 16:29:00,1
2019-04-05 16:33:00,2
2019-04-05 22:26:00,1
2019-04-05 22:27:00,1
2019-04-05 22:29:00,1
2019-04-05 22:48:00,1
2019-04-05 22:50:00,1
2019-04-05 22:51:00,2
2019-04-06 18:09:00,1
2019-04-06 18:12:00,1
2019-04-06 18:13:00,1
2019-04-07 22:39:00,1
2019-04-07 22:40:00,1
2019-04-08 15:51:00,1
2019-04-10 16:03:00,1
