137,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from star p, dbo.fgetNearByObjEq (#, #, #) n where p.objid = n.objid"
2019-01-02 04:43:00,2
2019-01-02 05:38:00,1
2019-01-02 05:39:00,2
2019-01-02 10:45:00,1
2019-01-08 00:58:00,1
2019-01-12 01:53:00,1
2019-01-12 02:05:00,1
2019-01-12 02:06:00,1
2019-01-22 06:51:00,2
2019-01-22 06:52:00,1
2019-01-22 06:53:00,1
2019-01-22 06:54:00,2
2019-03-07 02:54:00,2
2019-03-07 03:06:00,1
2019-03-07 03:12:00,1
2019-03-07 03:29:00,1
2019-03-07 03:34:00,1
2019-03-07 03:40:00,1
2019-03-07 05:04:00,1
2019-03-07 05:08:00,1
2019-03-25 11:58:00,2
2019-03-26 08:41:00,1
2019-03-26 08:42:00,2
2019-03-28 19:49:00,1
2019-03-28 20:45:00,2
2019-03-28 20:47:00,3
2019-03-28 20:48:00,1
2019-03-29 18:57:00,1
2019-03-29 18:59:00,1
2019-03-29 19:00:00,1
2019-03-29 19:01:00,2
2019-03-29 19:10:00,1
2019-03-29 19:11:00,1
2019-03-29 19:22:00,1
2019-03-29 19:27:00,1
2019-04-02 07:53:00,3
2019-04-02 07:54:00,1
2019-04-02 07:57:00,1
2019-04-02 08:01:00,3
2019-04-02 08:02:00,1
2019-04-02 18:06:00,1
2019-04-02 18:11:00,3
2019-04-02 18:18:00,1
2019-04-02 18:21:00,1
2019-04-04 15:59:00,1
2019-04-04 16:47:00,2
2019-04-04 16:48:00,1
2019-04-04 16:50:00,1
2019-04-04 16:52:00,2
2019-04-09 18:16:00,1
2019-04-09 19:37:00,1
2019-04-14 16:23:00,2
2019-04-14 16:24:00,1
2019-06-16 00:45:00,1
2019-06-19 02:33:00,1
2019-06-19 02:35:00,1
2019-06-19 19:15:00,1
2019-06-19 19:16:00,1
2019-06-21 08:16:00,1
2019-06-21 08:17:00,4
2019-06-25 14:51:00,1
2019-06-25 14:53:00,1
2019-06-25 14:55:00,1
2019-06-25 14:56:00,1
2019-06-25 14:57:00,1
2019-06-25 15:01:00,1
2019-06-25 17:00:00,1
2019-06-25 17:07:00,2
2019-06-25 17:10:00,1
2019-06-25 17:45:00,1
2019-06-25 17:57:00,1
2019-06-25 18:04:00,1
2019-06-25 18:05:00,1
2019-06-25 18:06:00,1
2019-06-25 18:13:00,1
2019-06-25 18:15:00,2
2019-06-25 18:27:00,2
2019-06-25 18:28:00,1
2019-06-25 18:30:00,1
2019-06-25 18:46:00,1
2019-06-25 18:51:00,1
2019-06-25 18:56:00,1
2019-06-25 19:07:00,1
2019-06-25 19:16:00,1
2019-06-25 19:18:00,1
2019-06-25 19:20:00,1
2019-06-25 20:34:00,1
2019-06-25 22:56:00,1
2019-06-25 23:02:00,1
2019-06-25 23:05:00,1
2019-06-27 14:57:00,1
2019-06-27 19:30:00,1
2019-08-29 17:13:00,1
2019-08-29 17:23:00,1
2019-08-30 04:02:00,1
2019-09-10 07:10:00,1
2019-09-10 07:11:00,1
2019-09-10 07:41:00,1
2019-09-10 07:43:00,2
2019-09-23 22:03:00,1
2019-09-23 22:04:00,1
2019-09-25 17:59:00,1
2019-09-25 19:01:00,3
2019-11-19 21:58:00,1
2019-11-28 09:17:00,1
2019-12-17 01:26:00,2
2019-12-20 12:06:00,1
