17,"SELECT s.plate, MIN (s.ra) , MAX (s.ra) , MIN (s.dec) , MAX (s.dec) , MIN (elodieFeH) , MAX (z) FROM SpecObj AS s WHERE s.plate IN () GROUP BY s.plate ORDER BY s.plate"
2019-05-30 18:01:00,1
2019-05-30 18:04:00,3
2019-05-30 18:05:00,1
2019-05-30 18:07:00,1
2019-05-30 18:08:00,1
2019-05-30 18:11:00,1
2019-05-30 18:14:00,1
2019-05-30 18:15:00,1
2019-05-30 18:59:00,1
2019-05-30 19:03:00,1
2019-05-30 19:31:00,1
2019-05-30 22:32:00,1
2019-05-30 22:51:00,1
2019-05-31 17:13:00,1
2019-06-03 02:12:00,1
