205,"SELECT TOP # mangaid, psfmag_#, psfmag_#, psfmag_#, plate, IFUDESIGN FROM MaStar_goodvisits WHERE (mngtarg2 & POWER (#, #) ) < > # AND psfmag_# BETWEEN # AND # AND (psfmag_# - psfmag_#) BETWEEN # AND #"
2019-01-03 11:20:00,1
2019-01-03 18:36:00,1
2019-01-08 02:54:00,1
2019-01-08 18:15:00,1
2019-01-10 02:46:00,1
2019-01-14 11:52:00,1
2019-01-16 01:55:00,1
2019-01-17 22:56:00,1
2019-01-22 16:13:00,1
2019-01-22 20:49:00,1
2019-01-26 23:19:00,1
2019-01-27 21:21:00,1
2019-01-28 16:51:00,1
2019-01-30 19:29:00,2
2019-01-31 02:08:00,1
2019-02-02 00:22:00,1
2019-02-02 13:58:00,1
2019-02-12 18:13:00,1
2019-02-13 16:34:00,1
2019-02-14 12:52:00,1
2019-02-14 15:31:00,1
2019-02-16 01:57:00,1
2019-02-21 16:02:00,1
2019-02-21 18:54:00,1
2019-02-26 01:12:00,1
2019-02-28 07:48:00,1
2019-03-01 10:27:00,1
2019-03-03 05:46:00,1
2019-03-06 01:45:00,1
2019-03-06 17:23:00,1
2019-03-07 11:03:00,1
2019-03-09 01:41:00,1
2019-03-11 17:17:00,1
2019-03-13 08:35:00,1
2019-03-14 17:19:00,1
2019-03-15 01:38:00,1
2019-03-19 09:57:00,1
2019-03-19 17:38:00,2
2019-03-20 21:22:00,1
2019-03-25 13:19:00,1
2019-03-26 12:23:00,1
2019-03-27 19:57:00,1
2019-03-31 18:44:00,1
2019-04-02 13:03:00,1
2019-04-07 15:10:00,1
2019-04-10 11:33:00,1
2019-04-11 16:38:00,1
2019-04-15 20:04:00,1
2019-04-16 03:46:00,1
2019-04-18 17:19:00,1
2019-04-19 00:28:00,1
2019-04-22 12:47:00,1
2019-04-24 07:10:00,1
2019-04-27 11:57:00,1
2019-04-28 02:25:00,1
2019-04-28 11:04:00,1
2019-04-28 12:05:00,1
2019-05-02 23:28:00,1
2019-05-06 20:11:00,1
2019-05-08 07:25:00,1
2019-05-13 09:10:00,1
2019-05-13 10:56:00,1
2019-05-14 01:46:00,1
2019-05-21 06:19:00,1
2019-05-21 13:10:00,1
2019-05-21 20:04:00,1
2019-05-23 04:23:00,2
2019-05-23 09:58:00,1
2019-05-24 23:02:00,1
2019-05-25 00:05:00,1
2019-05-27 12:49:00,1
2019-05-29 03:48:00,1
2019-05-31 00:11:00,1
2019-05-31 04:15:00,1
2019-06-04 15:29:00,1
2019-06-11 16:43:00,1
2019-06-12 05:21:00,1
2019-06-14 09:11:00,1
2019-06-21 07:09:00,1
2019-06-22 22:39:00,1
2019-06-25 16:07:00,1
2019-06-29 17:31:00,1
2019-07-01 11:04:00,1
2019-07-02 14:33:00,1
2019-07-06 08:11:00,1
2019-07-07 02:49:00,1
2019-07-07 22:47:00,1
2019-07-14 14:31:00,1
2019-07-14 18:32:00,1
2019-07-14 20:34:00,1
2019-07-16 14:37:00,1
2019-07-18 12:45:00,1
2019-07-20 01:24:00,1
2019-07-20 03:47:00,1
2019-07-20 04:43:00,1
2019-07-20 04:53:00,1
2019-07-22 02:48:00,1
2019-07-23 15:04:00,1
2019-07-23 15:49:00,1
2019-07-25 10:25:00,1
2019-07-26 19:17:00,1
2019-07-28 22:55:00,1
2019-07-31 19:46:00,1
2019-08-01 01:29:00,1
2019-08-02 08:23:00,1
2019-08-02 16:51:00,1
2019-08-05 00:16:00,1
2019-08-09 08:47:00,1
2019-08-09 18:00:00,1
2019-08-12 21:31:00,1
2019-08-13 17:52:00,1
2019-08-13 19:21:00,1
2019-08-16 15:58:00,1
2019-08-23 14:34:00,1
2019-08-24 07:08:00,1
2019-08-30 06:51:00,1
2019-08-31 19:37:00,1
2019-08-31 21:48:00,1
2019-09-02 07:14:00,1
2019-09-02 13:01:00,1
2019-09-03 20:26:00,1
2019-09-08 09:39:00,1
2019-09-08 12:31:00,1
2019-09-08 18:16:00,1
2019-09-10 19:28:00,1
2019-09-11 19:47:00,1
2019-09-15 06:38:00,1
2019-09-17 00:29:00,1
2019-09-17 18:11:00,1
2019-09-19 00:38:00,1
2019-09-19 03:30:00,1
2019-09-19 18:28:00,1
2019-09-19 19:21:00,1
2019-09-20 07:08:00,1
2019-09-23 18:26:00,1
2019-09-24 00:57:00,1
2019-09-25 07:50:00,1
2019-09-29 19:24:00,1
2019-10-01 12:32:00,1
2019-10-03 17:41:00,1
2019-10-04 14:25:00,1
2019-10-08 19:55:00,1
2019-10-10 08:03:00,1
2019-10-10 14:57:00,1
2019-10-11 05:10:00,1
2019-10-14 05:45:00,1
2019-10-14 07:16:00,1
2019-10-17 20:23:00,1
2019-10-21 02:41:00,1
2019-10-21 19:46:00,1
2019-10-22 08:11:00,1
2019-10-23 15:44:00,1
2019-11-01 10:13:00,1
2019-11-02 08:13:00,1
2019-11-02 11:37:00,1
2019-11-04 16:53:00,1
2019-11-05 06:45:00,1
2019-11-08 20:00:00,1
2019-11-10 11:31:00,1
2019-11-14 17:24:00,1
2019-11-15 05:02:00,1
2019-11-15 09:20:00,1
2019-11-16 07:41:00,1
2019-11-16 07:57:00,1
2019-11-17 02:16:00,1
2019-11-18 03:35:00,1
2019-11-19 00:38:00,1
2019-11-22 02:37:00,1
2019-11-22 16:41:00,1
2019-11-23 18:20:00,1
2019-11-24 21:36:00,1
2019-11-25 18:43:00,1
2019-11-27 10:51:00,1
2019-11-29 03:55:00,1
2019-11-30 03:44:00,1
2019-12-01 11:56:00,1
2019-12-01 21:09:00,1
2019-12-04 07:03:00,1
2019-12-04 11:29:00,1
2019-12-05 21:21:00,1
2019-12-09 07:31:00,1
2019-12-09 22:29:00,1
2019-12-11 10:40:00,1
2019-12-12 02:39:00,1
2019-12-12 15:16:00,1
2019-12-13 12:40:00,1
2019-12-13 14:06:00,1
2019-12-14 13:30:00,1
2019-12-15 02:03:00,1
2019-12-16 23:06:00,1
2019-12-20 09:12:00,1
2019-12-20 17:26:00,1
2019-12-22 07:18:00,2
2019-12-22 15:31:00,1
2019-12-23 21:23:00,1
2019-12-25 06:02:00,1
2019-12-26 03:17:00,1
2019-12-26 15:25:00,1
2019-12-27 07:40:00,1
2019-12-29 00:05:00,1
2019-12-29 19:23:00,1
