3,"SELECT TOP # p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM Star, PhotoPrimary p WHERE p.ra between # and # and p.dec between # and #"
2019-08-27 12:44:00,1
2019-08-27 12:45:00,1
2019-08-27 12:46:00,1
