57,"SELECT up_id, dbo.fGetNearestSpecObjIdAllEq (up_ra, up_dec, #) as SpecobjId FROM #upload WHERE dbo.fGetNearestSpecObjIdAllEq (up_ra, up_dec, #) IS NOT # EXEC spExecuteSQL #, #, @log = #, @filter = #"
2019-01-07 02:15:00,1
2019-01-09 14:54:00,1
2019-02-15 15:06:00,1
2019-02-22 14:01:00,1
2019-03-05 17:06:00,3
2019-03-05 17:09:00,1
2019-03-05 17:25:00,1
2019-03-05 18:00:00,1
2019-03-05 18:01:00,3
2019-03-05 18:02:00,1
2019-03-05 18:03:00,4
2019-03-05 18:04:00,1
2019-03-14 17:00:00,2
2019-03-20 06:12:00,1
2019-04-16 01:53:00,2
2019-04-16 01:55:00,1
2019-05-02 13:45:00,1
2019-05-02 13:49:00,1
2019-05-14 17:44:00,1
2019-05-21 09:28:00,2
2019-05-21 09:32:00,1
2019-05-21 09:36:00,1
2019-05-21 09:37:00,1
2019-05-21 10:07:00,1
2019-05-24 08:35:00,1
2019-05-28 09:35:00,1
2019-06-11 11:32:00,1
2019-07-05 04:27:00,1
2019-07-05 04:28:00,1
2019-07-05 04:29:00,1
2019-11-07 13:49:00,1
2019-11-07 13:50:00,1
2019-11-07 13:51:00,1
2019-11-07 13:52:00,1
2019-11-07 13:53:00,2
2019-11-07 13:54:00,1
2019-11-07 13:57:00,2
2019-11-07 13:59:00,2
2019-11-07 14:01:00,2
2019-11-07 14:02:00,2
2019-11-07 14:03:00,1
2019-11-07 14:10:00,1
