3,"SELECT TOP # s.plate, s.mjd, s.fiberid, s.specObjID FROM ..SpecObj as s JOIN PhotoObj AS p ON s.bestobjid = p.objid WHERE s.zWarning = # AND p.r > # AND p.r < # AND (p.r - p.i) > # AND (p.r - p.i) < #"
2019-10-17 13:50:00,1
2019-10-17 13:53:00,2
