19,"SELECT p.objId, p.ra, p.dec, p.petror9#_r, p.expAB_r, p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i, s.z, s.plate, s.mjd, s.fiberid FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE ( (s.BOSS_TARGET1 & dbo.fBossTarget1 (#) > #) or (s.BOSS_TARGET1 & dbo.fBossTarget1 (#) > #) ) and s.z > # and s.z < # and s.ra > # and s.ra < #"
2019-02-14 06:01:00,1
2019-04-18 12:21:00,1
2019-04-19 06:54:00,1
2019-04-19 07:00:00,1
2019-04-19 07:04:00,1
2019-04-24 10:02:00,1
2019-04-24 10:04:00,1
2019-04-24 10:12:00,1
2019-04-24 10:13:00,1
2019-04-25 09:42:00,1
2019-04-25 09:43:00,1
2019-04-27 05:05:00,1
2019-05-16 07:01:00,1
2019-05-28 07:59:00,1
2019-06-05 10:56:00,1
2019-06-05 10:57:00,1
2019-06-05 10:59:00,2
2019-06-23 10:15:00,1
