4,"SELECT p.ObjID, p.ra, p.dec, f.rms, s.z, p.modelMag_g, ph.lumDist FROM PhotoObj p JOIN specObj s ON s.bestObjID = p.objID JOIN [FIRST] f ON f.objID = p.objID JOIN Photoz ph ON ph.objID = p.objID WHERE s.class = # AND s.z between # and # AND p.modelMag_g > #"
2019-11-09 19:00:00,2
2019-11-09 19:05:00,2
