103,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM ..SpecObj as s WHERE s.z > # AND s.zWarning = # AND (s.class = #) AND s.z < #"
2019-01-12 17:57:00,1
2019-01-28 22:01:00,1
2019-01-28 22:03:00,1
2019-01-28 22:04:00,1
2019-01-28 22:05:00,1
2019-03-01 14:35:00,1
2019-03-01 14:36:00,1
2019-05-30 13:37:00,1
2019-06-18 18:52:00,1
2019-07-01 15:55:00,1
2019-07-01 15:56:00,1
2019-07-01 19:24:00,1
2019-08-06 14:06:00,1
2019-09-05 22:22:00,1
2019-09-15 13:16:00,1
2019-09-15 13:19:00,1
2019-09-15 13:22:00,1
2019-10-25 06:04:00,1
2019-10-26 02:15:00,1
2019-10-26 02:28:00,2
2019-10-27 05:15:00,1
2019-10-27 05:35:00,1
2019-10-27 05:47:00,1
2019-10-27 06:02:00,1
2019-10-27 06:11:00,1
2019-10-28 15:32:00,1
2019-10-28 15:33:00,1
2019-10-28 15:54:00,1
2019-11-08 20:44:00,2
2019-11-08 20:51:00,1
2019-11-08 20:55:00,1
2019-11-08 20:56:00,2
2019-11-08 21:34:00,1
2019-11-08 21:35:00,1
2019-11-10 19:16:00,1
2019-11-10 19:22:00,2
2019-11-10 19:25:00,1
2019-11-10 21:43:00,1
2019-11-11 01:40:00,1
2019-11-11 03:01:00,1
2019-11-11 03:03:00,1
2019-11-11 15:13:00,1
2019-11-11 15:22:00,1
2019-11-11 15:29:00,1
2019-11-20 18:16:00,1
2019-11-20 18:19:00,1
2019-11-20 18:27:00,1
2019-11-20 18:29:00,3
2019-12-05 12:48:00,1
2019-12-05 13:03:00,1
2019-12-05 13:13:00,1
2019-12-05 15:11:00,1
2019-12-05 15:15:00,1
2019-12-05 15:16:00,1
2019-12-05 15:17:00,1
2019-12-05 16:35:00,1
2019-12-16 22:26:00,1
2019-12-16 22:40:00,1
2019-12-16 22:41:00,1
2019-12-16 23:19:00,1
2019-12-16 23:45:00,1
2019-12-17 00:06:00,1
2019-12-17 00:18:00,2
2019-12-17 01:28:00,1
2019-12-17 01:43:00,1
2019-12-17 01:53:00,1
2019-12-17 02:00:00,1
2019-12-17 02:08:00,1
2019-12-17 02:19:00,1
2019-12-17 02:29:00,1
2019-12-17 02:38:00,1
2019-12-17 02:48:00,1
2019-12-17 02:54:00,1
2019-12-17 03:03:00,1
2019-12-17 03:09:00,1
2019-12-17 03:14:00,1
2019-12-17 03:23:00,1
2019-12-17 03:29:00,1
2019-12-17 03:31:00,1
2019-12-17 04:29:00,1
2019-12-17 04:31:00,1
2019-12-17 04:32:00,1
2019-12-17 04:35:00,1
2019-12-17 04:38:00,1
2019-12-17 04:41:00,1
2019-12-17 04:43:00,1
2019-12-17 04:44:00,1
2019-12-17 04:46:00,1
2019-12-17 04:49:00,1
2019-12-17 05:29:00,1
2019-12-17 05:31:00,1
2019-12-17 05:34:00,1
2019-12-17 05:40:00,1
2019-12-17 16:35:00,1
2019-12-17 16:38:00,1
2019-12-17 16:40:00,1
