27,"select s.ra, s.dec, s.z, g.u, g.g, g.r, g.i, g.z, s.specobjid, g.specobjid from specobj as s join galaxy as g on g.specobjid = s.specobjid where s.ra between # and # and s.dec between # and # and s.z between # and # and class = #"
2019-01-06 07:36:00,2
2019-01-06 07:42:00,1
2019-01-06 07:45:00,1
2019-01-07 13:16:00,2
2019-01-07 13:27:00,1
2019-01-07 13:29:00,1
2019-01-07 13:36:00,1
2019-01-07 13:41:00,1
2019-01-07 13:42:00,1
2019-01-07 13:58:00,1
2019-01-07 14:13:00,1
2019-01-07 14:21:00,1
2019-01-07 14:22:00,1
2019-01-09 08:15:00,1
2019-01-09 08:16:00,1
2019-01-09 08:26:00,2
2019-01-09 08:39:00,1
2019-01-09 08:54:00,1
2019-03-05 11:05:00,1
2019-03-06 15:07:00,1
2019-03-06 15:08:00,2
2019-03-06 18:15:00,2
