32,"SELECT TOP # objid, ra, dec, u, g, r, i, z FROM star WHERE r< #"
2019-02-21 16:39:00,2
2019-02-25 17:40:00,1
2019-02-25 17:44:00,1
2019-02-27 13:02:00,1
2019-02-27 13:03:00,1
2019-02-27 20:44:00,1
2019-02-27 20:46:00,1
2019-02-27 20:48:00,1
2019-02-27 20:49:00,1
2019-02-27 20:58:00,1
2019-02-27 20:59:00,1
2019-02-27 21:14:00,1
2019-02-28 13:49:00,2
2019-03-01 17:06:00,1
2019-03-01 17:19:00,2
2019-03-02 14:48:00,1
2019-03-03 13:50:00,1
2019-03-03 13:51:00,1
2019-03-03 17:30:00,2
2019-03-05 10:31:00,1
2019-03-05 21:12:00,1
2019-03-06 16:26:00,1
2019-03-06 16:30:00,1
2019-03-07 16:22:00,1
2019-03-08 18:28:00,1
2019-03-09 18:40:00,1
2019-03-14 22:35:00,1
2019-03-20 18:42:00,1
