371,"SELECT TOP # star.apogee_id, star.ra, star.dec, star.glon, star.glat, star.vhelio_avg, star.vscatter, obj.j, obj.h, obj.k, obj.ak_targ, obj.ak_targ_method, obj.ak_wise, aspcap.teff, aspcap.logg, aspcap.param_m_h FROM apogeeStar star JOIN aspcapStar aspcap on aspcap.apstar_id = star.apstar_id JOIN apogeeObject obj on aspcap.target_id = obj.target_id WHERE (aspcap.aspxcapflag & dbo.fApogeeAspcapFlag (#) ) = # and aspcap.teff > # and (star.vhelio_avg > #) and (star.starflag & dbo.fApogeeStarFlag (#) ) = # and star.nvisits > # order by aspcap.apogee_id"
2019-01-03 11:18:00,1
2019-01-03 17:53:00,1
2019-01-07 04:42:00,1
2019-01-08 02:11:00,1
2019-01-08 04:32:00,1
2019-01-08 17:33:00,1
2019-01-10 02:41:00,1
2019-01-14 11:47:00,1
2019-01-16 02:02:00,1
2019-01-19 01:48:00,1
2019-01-19 17:17:00,1
2019-01-22 15:30:00,1
2019-01-22 20:49:00,1
2019-01-24 12:50:00,1
2019-01-26 22:38:00,1
2019-01-27 16:35:00,1
2019-01-28 16:12:00,1
2019-01-30 18:44:00,2
2019-01-30 22:43:00,1
2019-01-31 01:21:00,1
2019-02-01 12:32:00,1
2019-02-01 23:40:00,1
2019-02-02 02:53:00,1
2019-02-02 09:52:00,1
2019-02-02 13:10:00,1
2019-02-07 13:23:00,1
2019-02-08 10:19:00,1
2019-02-09 14:12:00,1
2019-02-11 23:10:00,1
2019-02-12 17:32:00,1
2019-02-13 14:42:00,1
2019-02-14 14:48:00,1
2019-02-15 23:19:00,1
2019-02-16 05:28:00,1
2019-02-19 02:18:00,1
2019-02-19 06:17:00,1
2019-02-20 01:09:00,1
2019-02-20 18:32:00,1
2019-02-21 01:50:00,1
2019-02-21 15:10:00,1
2019-02-21 18:11:00,1
2019-02-23 19:10:00,1
2019-02-24 20:59:00,1
2019-02-26 00:30:00,1
2019-02-26 13:16:00,1
2019-02-28 07:07:00,1
2019-02-28 14:55:00,1
2019-03-01 10:24:00,1
2019-03-01 22:12:00,1
2019-03-02 00:22:00,1
2019-03-03 05:06:00,1
2019-03-06 16:35:00,1
2019-03-06 23:15:00,1
2019-03-07 10:16:00,1
2019-03-09 00:58:00,1
2019-03-09 20:02:00,1
2019-03-11 17:12:00,1
2019-03-13 00:30:00,1
2019-03-13 07:54:00,1
2019-03-14 14:35:00,1
2019-03-15 01:36:00,1
2019-03-17 07:21:00,1
2019-03-19 09:57:00,1
2019-03-19 16:53:00,2
2019-03-20 04:51:00,1
2019-03-20 15:25:00,1
2019-03-21 10:27:00,1
2019-03-24 17:39:00,1
2019-03-25 12:36:00,1
2019-03-25 19:29:00,1
2019-03-25 20:21:00,1
2019-03-26 00:03:00,1
2019-03-26 11:38:00,1
2019-03-27 19:49:00,1
2019-03-28 21:41:00,1
2019-03-31 10:20:00,1
2019-03-31 18:01:00,1
2019-04-02 12:23:00,1
2019-04-07 15:05:00,1
2019-04-07 16:11:00,1
2019-04-08 12:53:00,1
2019-04-09 05:56:00,1
2019-04-10 20:14:00,2
2019-04-11 01:30:00,1
2019-04-13 05:47:00,1
2019-04-15 19:22:00,1
2019-04-16 03:04:00,1
2019-04-18 16:04:00,1
2019-04-18 16:33:00,1
2019-04-18 17:34:00,1
2019-04-18 23:47:00,1
2019-04-19 22:30:00,1
2019-04-22 12:03:00,1
2019-04-24 02:21:00,1
2019-04-27 09:03:00,1
2019-04-28 10:22:00,1
2019-04-28 11:24:00,1
2019-04-28 13:39:00,1
2019-04-30 16:55:00,1
2019-05-01 03:31:00,1
2019-05-01 11:45:00,1
2019-05-02 22:48:00,1
2019-05-04 01:02:00,1
2019-05-04 06:41:00,1
2019-05-06 02:58:00,1
2019-05-06 17:36:00,1
2019-05-06 19:23:00,1
2019-05-07 02:49:00,1
2019-05-07 17:38:00,1
2019-05-11 19:32:00,1
2019-05-13 09:06:00,1
2019-05-13 10:11:00,1
2019-05-14 01:01:00,1
2019-05-16 10:52:00,1
2019-05-17 01:52:00,1
2019-05-17 15:33:00,1
2019-05-19 12:52:00,1
2019-05-21 02:31:00,1
2019-05-21 05:35:00,1
2019-05-21 06:45:00,1
2019-05-21 09:38:00,1
2019-05-21 12:28:00,1
2019-05-21 19:22:00,1
2019-05-23 04:26:00,1
2019-05-23 09:09:00,1
2019-05-23 23:44:00,1
2019-05-24 22:21:00,1
2019-05-24 23:43:00,1
2019-05-25 00:03:00,1
2019-05-27 12:43:00,1
2019-05-28 23:15:00,1
2019-05-29 03:06:00,1
