24,select fieldid from field where cccol_u between -.# and -.# and skyframes_r between .# and .#
2019-01-25 17:13:00,3
2019-01-28 13:43:00,3
2019-01-28 13:46:00,2
2019-01-28 14:20:00,2
2019-01-28 14:21:00,3
2019-01-28 15:21:00,11
