96,"SELECT TOP # specObjID, bestObjID, z FROM SpecObj WHERE class = # AND zWarning = # AND z BETWEEN # AND #"
2019-03-07 18:26:00,1
2019-03-07 18:32:00,1
2019-03-07 19:08:00,1
2019-03-07 20:40:00,1
2019-03-07 20:46:00,2
2019-03-07 20:53:00,1
2019-03-07 21:16:00,1
2019-03-07 21:17:00,1
2019-03-07 21:18:00,1
2019-03-07 21:19:00,1
2019-03-07 21:22:00,1
2019-03-07 21:23:00,1
2019-03-07 21:24:00,2
2019-03-07 21:25:00,1
2019-03-07 21:26:00,2
2019-03-07 21:50:00,1
2019-03-07 22:00:00,1
2019-03-08 15:14:00,1
2019-03-08 15:18:00,1
2019-03-08 15:28:00,1
2019-03-09 06:38:00,2
2019-03-09 16:16:00,1
2019-03-09 16:18:00,1
2019-03-09 16:35:00,1
2019-03-09 16:39:00,1
2019-03-10 14:39:00,1
2019-03-10 22:26:00,1
2019-03-10 22:29:00,1
2019-03-11 07:11:00,1
2019-03-11 07:17:00,1
2019-03-11 17:45:00,1
2019-03-11 17:53:00,2
2019-03-11 17:54:00,1
2019-03-11 17:55:00,1
2019-03-12 16:17:00,1
2019-03-12 16:24:00,1
2019-03-14 11:01:00,1
2019-03-14 17:38:00,1
2019-03-14 17:53:00,1
2019-03-14 19:01:00,1
2019-03-14 19:07:00,1
2019-03-14 19:12:00,1
2019-03-14 19:15:00,1
2019-03-14 19:18:00,1
2019-03-14 19:20:00,1
2019-03-14 19:24:00,1
2019-03-14 19:26:00,1
2019-03-14 21:19:00,1
2019-03-14 21:20:00,1
2019-03-14 21:21:00,1
2019-03-15 09:09:00,1
2019-03-15 16:30:00,1
2019-03-15 16:31:00,1
2019-03-15 22:49:00,1
2019-03-15 22:50:00,1
2019-03-15 22:51:00,1
2019-03-15 22:52:00,2
2019-03-15 22:53:00,3
2019-03-15 23:04:00,1
2019-03-17 20:48:00,1
2019-03-18 12:00:00,1
2019-03-18 21:11:00,1
2019-03-19 22:12:00,2
2019-03-19 22:13:00,2
2019-03-19 22:14:00,1
2019-03-21 09:57:00,1
2019-03-21 10:16:00,2
2019-03-21 10:23:00,1
2019-03-26 23:57:00,1
2019-03-27 00:02:00,1
2019-03-27 00:03:00,1
2019-03-27 00:04:00,1
2019-03-27 00:05:00,1
2019-03-27 20:54:00,1
2019-03-27 20:57:00,2
2019-03-27 20:58:00,2
2019-03-30 22:56:00,1
2019-03-30 22:57:00,1
2019-05-03 17:04:00,1
2019-05-13 19:17:00,1
2019-05-13 19:19:00,1
2019-05-13 19:20:00,1
2019-05-13 19:22:00,1
