4,"SELECT top # p.modelMag_r, p.modelMag_g, l.ssfr, l.logMass, s.z, p.ObjID, e.EW_OIII_#, e.EW_NII_#, e.EW_Ha_#, e.EW_Hb_# FROM PhotoObj p JOIN specObj s ON s.bestObjID = p.objID JOIN emissionLinesPort e ON e.specObjID = s.specObjID JOIN stellarMassFSPSGranWideNoDust l ON l.specObjID = e.specObjID WHERE class = # AND s.z BETWEEN # and # AND s.z > # AND p.modelMag_r BETWEEN # and # AND p.modelMag_g BETWEEN # and # AND e.EW_OIII_# > # AND e.EW_NII_# > # AND e.EW_Ha_# > # AND e.EW_Hb_# > #"
2019-02-20 11:37:00,1
2019-02-20 11:45:00,3
