5,"SELECT p.ra, p.dec, p.g, s.z FROM Photoz as s JOIN PhotoObj AS p ON s.objID = p.objID WHERE ( ((p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) )) AND s.z< # AND s.z> #"
2019-11-19 04:37:00,1
2019-11-19 04:38:00,2
2019-11-19 04:39:00,2
