10,"SELECT p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, p.mode FROM PhotoObjAll AS p WHERE p.objID IN ()"
2019-02-13 20:11:00,1
2019-02-13 20:12:00,2
2019-02-13 20:13:00,2
2019-02-13 20:14:00,2
2019-02-15 15:05:00,2
2019-02-15 15:06:00,1
