30,"SELECT TOP # s.plate, s.mjd, s.fiberid, s.z, s.zErr, s.zWarning, s.class FROM ..SpecObj as s JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.z > # AND s.zWarning = # AND (s.class = #) AND s.z < #"
2019-01-07 04:37:00,1
2019-01-07 05:30:00,2
2019-01-08 23:41:00,1
2019-01-08 23:42:00,1
2019-01-14 20:16:00,1
2019-02-04 12:58:00,1
2019-02-04 13:00:00,7
2019-03-05 14:20:00,1
2019-03-05 14:22:00,1
2019-03-05 14:24:00,1
2019-03-18 22:23:00,1
2019-03-18 22:26:00,1
2019-03-18 22:36:00,1
2019-03-20 22:15:00,1
2019-03-20 22:19:00,1
2019-07-26 06:46:00,1
2019-09-12 15:51:00,1
2019-10-31 09:26:00,3
2019-11-08 20:41:00,1
2019-11-08 20:42:00,2
