254,"select count (*) , stim_timestamps.timestamp from session_eeg, stim_timestamps where session_eeg.session_ID = # and stim_timestamps.session_ID = # and session_eeg.timestamp < stim_timestamps.timestamp group by stim_timestamps.timestamp) select stim_timestamps_index.index_value, stim_timestamps.stim_ID from stim_timestamps_index, stim_timestamps where stim_timestamps.session_ID = # and stim_timestamps.timestamp = stim_timestamps_index.timestamp order by stim_timestamps_index.index_value"
2019-01-07 16:32:00,1
2019-01-09 16:39:00,1
2019-01-10 17:49:00,1
2019-01-15 17:10:00,1
2019-01-15 17:11:00,3
2019-01-15 17:23:00,3
2019-01-15 17:24:00,3
2019-01-15 17:25:00,2
2019-01-15 17:26:00,2
2019-01-15 17:27:00,2
2019-01-15 17:28:00,2
2019-01-17 16:42:00,1
2019-01-22 12:34:00,1
2019-01-22 12:35:00,1
2019-01-22 12:38:00,1
2019-01-22 14:15:00,2
2019-01-22 14:16:00,3
2019-01-22 14:17:00,2
2019-01-22 14:18:00,2
2019-01-22 14:19:00,1
2019-01-22 14:20:00,2
2019-01-22 14:21:00,1
2019-01-22 14:22:00,2
2019-01-22 14:23:00,1
2019-01-22 14:24:00,1
2019-01-22 14:25:00,1
2019-01-22 14:26:00,1
2019-01-22 14:51:00,1
2019-01-22 14:52:00,3
2019-01-22 14:53:00,2
2019-01-22 14:54:00,2
2019-01-22 14:55:00,2
2019-01-22 14:56:00,1
2019-01-22 14:57:00,2
2019-01-22 14:58:00,1
2019-01-22 14:59:00,1
2019-01-22 15:00:00,2
2019-01-22 15:03:00,1
2019-01-22 15:38:00,3
2019-01-22 15:39:00,2
2019-01-22 15:40:00,3
2019-01-22 15:41:00,1
2019-01-22 15:42:00,2
2019-01-22 15:43:00,2
2019-01-22 15:44:00,1
2019-01-22 15:45:00,1
2019-01-22 15:46:00,2
2019-01-22 15:49:00,1
2019-01-22 17:49:00,2
2019-01-23 18:09:00,2
2019-01-23 18:10:00,3
2019-01-23 18:11:00,2
2019-01-23 18:12:00,3
2019-01-23 18:13:00,3
2019-01-23 18:14:00,3
2019-01-23 18:15:00,2
2019-01-26 11:37:00,1
2019-02-18 16:29:00,2
2019-02-18 16:30:00,3
2019-02-18 16:31:00,2
2019-02-18 16:32:00,2
2019-02-18 16:33:00,1
2019-02-18 16:34:00,2
2019-02-18 16:35:00,1
2019-02-18 16:36:00,2
2019-02-18 16:37:00,1
2019-02-18 16:38:00,1
2019-02-18 16:40:00,1
2019-03-05 13:46:00,2
2019-03-05 13:47:00,2
2019-03-05 13:48:00,3
2019-03-05 13:49:00,2
2019-03-05 13:50:00,1
2019-03-05 13:51:00,2
2019-03-05 13:52:00,2
2019-03-05 13:53:00,1
2019-03-05 13:54:00,1
2019-03-05 13:55:00,1
2019-03-05 13:58:00,1
2019-03-14 09:37:00,1
2019-03-14 09:57:00,1
2019-03-14 09:58:00,3
2019-03-14 09:59:00,2
2019-03-14 10:00:00,2
2019-03-14 10:01:00,1
2019-03-14 10:02:00,1
2019-03-14 10:03:00,1
2019-03-14 10:04:00,1
2019-03-14 10:05:00,1
2019-03-14 10:06:00,1
2019-03-25 17:23:00,1
2019-03-25 17:24:00,1
2019-03-25 17:25:00,1
2019-03-25 17:27:00,1
2019-03-25 17:54:00,1
2019-03-25 18:08:00,1
2019-03-25 18:09:00,1
2019-04-16 13:10:00,1
2019-04-16 13:26:00,1
2019-04-16 13:33:00,1
2019-04-16 13:46:00,1
2019-04-16 13:59:00,1
2019-04-16 14:03:00,1
2019-04-16 14:04:00,3
2019-04-16 14:05:00,1
