173,"SELECT first.plate, other.plate, COUNT (DISTINCT other.mjd) COUNT (DISTINCT first.mjd) AS nightsObserved, otherPlate.programname, count (DISTINCT other.bestObjID) AS objects FROM SpecObjAll first JOIN SpecObjAll other ON first.bestObjID = other.bestObjID JOIN PlateX AS firstPlate ON firstPlate.plate = first.plate JOIN PlateX AS otherPlate ON otherPlate.plate = other.plate WHERE first.scienceprimary = # AND other.scienceprimary = # AND other.bestObjID > # GROUP BY first.plate, other.plate, otherPlate.programname ORDER BY nightsObserved DESC, otherPlate.programname, first.plate, other.plate"
2019-01-01 11:11:00,1
2019-01-02 00:20:00,1
2019-01-02 00:50:00,1
2019-01-06 12:42:00,1
2019-01-07 00:12:00,1
2019-01-07 23:34:00,1
2019-01-08 03:31:00,1
2019-01-08 06:28:00,1
2019-01-08 07:29:00,1
2019-01-08 08:42:00,1
2019-01-11 04:46:00,1
2019-01-12 03:21:00,1
2019-01-13 08:32:00,1
2019-01-13 09:12:00,1
2019-01-22 08:30:00,1
2019-01-23 23:29:00,1
2019-01-25 15:59:00,1
2019-01-30 09:33:00,1
2019-02-04 13:41:00,1
2019-02-04 14:14:00,1
2019-02-04 14:44:00,1
2019-02-08 01:33:00,1
2019-02-08 18:14:00,1
2019-02-08 22:21:00,1
2019-02-09 17:36:00,1
2019-02-10 05:55:00,1
2019-02-10 09:46:00,1
2019-02-11 11:16:00,1
2019-02-14 12:14:00,1
2019-02-14 18:53:00,1
2019-02-18 03:09:00,1
2019-02-24 11:54:00,1
2019-02-27 19:53:00,1
2019-02-27 22:34:00,1
2019-02-28 03:37:00,1
2019-03-01 13:00:00,1
2019-03-01 22:36:00,1
2019-03-02 02:12:00,1
2019-03-02 22:42:00,1
2019-03-05 07:36:00,1
2019-03-05 08:56:00,1
2019-03-10 18:13:00,1
2019-03-26 19:56:00,1
2019-03-26 20:31:00,1
2019-03-26 20:59:00,1
2019-03-28 16:18:00,1
2019-03-28 20:01:00,1
2019-04-01 06:25:00,1
2019-04-01 18:26:00,1
2019-04-01 22:21:00,1
2019-04-08 15:39:00,1
2019-04-08 18:51:00,1
2019-04-09 12:29:00,1
2019-04-09 21:19:00,1
2019-04-09 21:22:00,1
2019-04-09 21:25:00,1
2019-04-10 00:38:00,1
2019-04-16 18:47:00,1
2019-04-18 05:54:00,1
2019-04-18 21:57:00,1
2019-04-19 01:44:00,1
2019-04-19 10:04:00,1
2019-04-19 19:09:00,1
2019-05-01 15:08:00,1
2019-05-02 11:24:00,1
2019-05-03 04:44:00,1
2019-05-03 14:48:00,1
2019-05-03 17:29:00,1
2019-05-10 16:25:00,1
2019-05-16 00:00:00,1
2019-05-16 00:44:00,1
2019-05-18 20:36:00,1
2019-05-18 21:25:00,1
2019-05-18 22:03:00,1
2019-05-23 10:03:00,1
2019-05-23 13:36:00,1
2019-05-24 02:16:00,1
2019-05-24 08:57:00,1
2019-05-24 13:34:00,1
2019-06-10 21:07:00,1
2019-06-10 21:24:00,1
2019-06-15 09:30:00,1
2019-06-17 09:53:00,1
2019-06-18 11:53:00,1
2019-06-18 13:17:00,1
2019-06-18 14:51:00,1
2019-06-20 00:13:00,1
2019-06-20 03:59:00,1
2019-06-21 00:54:00,1
2019-06-23 15:19:00,1
2019-06-23 23:38:00,1
2019-06-25 12:35:00,1
2019-06-29 05:36:00,1
2019-07-01 21:29:00,1
2019-07-02 01:33:00,1
2019-07-02 15:20:00,1
2019-07-02 19:47:00,1
2019-07-03 14:24:00,1
2019-07-12 19:16:00,1
2019-07-14 08:17:00,1
2019-07-20 00:25:00,1
2019-07-20 05:32:00,1
2019-07-21 06:56:00,1
2019-07-22 05:33:00,1
2019-07-24 02:14:00,1
2019-07-24 08:17:00,1
2019-07-25 05:14:00,1
2019-07-25 23:08:00,1
2019-08-06 02:39:00,1
2019-08-14 22:52:00,1
2019-08-15 03:55:00,1
2019-08-16 07:08:00,1
2019-08-16 23:48:00,1
2019-08-17 09:18:00,1
2019-08-20 23:08:00,1
2019-08-21 04:49:00,1
2019-08-22 07:42:00,1
2019-08-23 01:44:00,1
2019-08-23 08:02:00,1
2019-08-30 11:15:00,1
2019-08-31 08:42:00,1
2019-09-05 22:37:00,1
2019-09-06 22:00:00,1
2019-09-07 10:40:00,1
2019-09-13 00:38:00,1
2019-09-13 05:12:00,1
2019-09-14 17:55:00,1
2019-09-15 00:02:00,1
2019-09-15 07:04:00,1
2019-09-15 08:04:00,1
2019-09-28 00:00:00,1
2019-09-28 04:51:00,1
2019-09-30 01:49:00,1
2019-09-30 07:57:00,1
2019-10-19 10:01:00,1
2019-10-19 17:40:00,1
2019-10-21 00:25:00,1
2019-10-22 03:58:00,1
2019-10-22 10:11:00,1
2019-10-22 20:28:00,1
2019-10-22 21:02:00,1
2019-10-22 21:12:00,1
2019-10-22 21:33:00,1
2019-10-23 14:57:00,1
2019-10-24 09:49:00,1
2019-10-24 16:37:00,1
2019-10-24 21:28:00,1
2019-10-24 21:39:00,1
2019-10-25 00:13:00,1
2019-10-25 00:37:00,1
2019-10-25 00:47:00,1
2019-10-26 18:05:00,1
2019-10-26 19:36:00,1
2019-10-27 10:11:00,1
2019-10-30 20:53:00,1
2019-10-30 23:48:00,1
2019-10-31 04:12:00,1
2019-11-01 05:31:00,1
2019-11-02 01:11:00,1
2019-11-02 07:10:00,1
2019-11-20 04:50:00,1
2019-11-21 20:13:00,1
2019-11-22 18:43:00,1
2019-11-23 00:35:00,1
