33,"SELECT TOP # cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec, p.u, p.g, p.r, p.i, p.z FROM ..Star AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = P.objID"
2019-01-25 01:21:00,1
2019-01-25 16:29:00,1
2019-01-25 16:32:00,1
2019-01-25 16:33:00,1
2019-01-25 16:34:00,1
2019-01-25 16:35:00,2
2019-01-27 16:52:00,1
2019-01-30 15:10:00,1
2019-01-30 16:00:00,1
2019-01-30 16:07:00,1
2019-01-30 16:10:00,1
2019-09-07 17:38:00,1
2019-09-07 20:16:00,1
2019-09-08 01:30:00,1
2019-09-10 02:53:00,1
2019-09-10 02:54:00,2
2019-09-10 19:13:00,1
2019-09-10 19:15:00,1
2019-09-11 02:49:00,1
2019-09-11 04:30:00,1
2019-09-11 04:34:00,1
2019-09-11 20:52:00,1
2019-09-11 20:53:00,1
2019-09-11 21:08:00,1
2019-09-12 20:41:00,1
2019-09-12 20:42:00,1
2019-09-12 23:51:00,1
2019-09-12 23:53:00,1
2019-09-12 23:55:00,1
2019-09-13 00:31:00,1
2019-09-13 02:26:00,1
