25,select top # * from [tmp1#]
2019-02-24 03:23:00,1
2019-02-24 11:09:00,2
2019-03-05 06:26:00,1
2019-03-05 06:29:00,1
2019-03-05 11:09:00,1
2019-03-06 15:05:00,1
2019-03-09 14:38:00,1
2019-04-15 10:40:00,1
2019-04-15 11:29:00,1
2019-04-15 11:35:00,1
2019-04-15 12:04:00,1
2019-04-17 11:26:00,2
2019-04-17 11:30:00,1
2019-04-17 11:42:00,2
2019-04-17 11:43:00,1
2019-04-17 11:44:00,1
2019-04-17 13:08:00,1
2019-04-17 13:10:00,2
2019-04-17 14:52:00,1
2019-04-17 15:26:00,1
2019-04-23 02:24:00,1
