51,select top # * from [blueberry]
2019-02-12 00:34:00,2
2019-02-12 00:48:00,2
2019-02-12 00:53:00,1
2019-02-12 00:54:00,1
2019-02-12 00:55:00,1
2019-02-14 01:47:00,1
2019-02-14 01:51:00,1
2019-02-14 02:01:00,1
2019-02-14 02:02:00,1
2019-02-16 05:07:00,2
2019-02-16 05:23:00,1
2019-02-16 05:24:00,1
2019-02-16 05:37:00,2
2019-02-16 05:39:00,1
2019-02-16 06:38:00,1
2019-02-16 15:21:00,1
2019-02-16 15:24:00,1
2019-02-17 00:11:00,1
2019-02-17 00:12:00,2
2019-02-17 00:13:00,1
2019-02-17 00:14:00,1
2019-02-17 00:20:00,1
2019-02-17 00:34:00,1
2019-02-17 01:01:00,1
2019-02-17 01:09:00,1
2019-02-17 01:12:00,1
2019-02-17 01:16:00,1
2019-02-17 01:17:00,1
2019-02-17 01:22:00,1
2019-02-17 01:29:00,2
2019-02-17 01:42:00,1
2019-02-17 02:31:00,1
2019-02-17 02:58:00,1
2019-02-17 03:00:00,2
2019-02-17 03:35:00,1
2019-02-17 03:42:00,1
2019-02-17 04:17:00,1
2019-02-23 07:35:00,1
2019-02-23 07:37:00,1
2019-02-23 09:36:00,1
2019-02-25 11:22:00,2
2019-05-14 13:41:00,1
2019-11-20 12:33:00,1
