26,"SELECT * FROM (SELECT p.u, p.g, p.r, p.i, p.z, s.class, s.z as z1, s.zerr, number = ROW_NUMBER () OVER (ORDER BY p.objid) FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND p.g BETWEEN # AND # AND s.class < > # AND s.class < > # AND s.class < > # AND s.class < > #) T2 WHERE number BETWEEN # AND #"
2019-11-19 11:25:00,1
2019-11-19 13:22:00,1
2019-11-19 13:31:00,1
2019-11-19 13:42:00,2
2019-11-19 13:44:00,1
2019-11-19 13:45:00,1
2019-11-19 13:51:00,1
2019-12-03 12:59:00,1
2019-12-03 13:00:00,1
2019-12-03 13:07:00,1
2019-12-03 13:37:00,1
2019-12-03 13:38:00,3
2019-12-03 13:46:00,3
2019-12-03 18:41:00,1
2019-12-03 18:42:00,1
2019-12-03 18:43:00,1
2019-12-03 18:47:00,1
2019-12-03 18:50:00,1
2019-12-03 18:53:00,1
2019-12-03 18:57:00,1
2019-12-03 19:00:00,1
