363,"SELECT s.*, dbo.fDistanceArcMinEq (s.RA+ ((s.pmra/cos (radians (s.Dec) )) /#.) * (s.mjd_f-s.mjd) /#, s.Dec+ (s.pmdec/#.) * (s.mjd_f-s.mjd) /#, s.RAJ2#, s.DEJ2#) *#. as Separation from MyDB.gaia_neigh_galex_mjd as s WHERE dbo.fDistanceArcMinEq (s.RA+ ((s.pmra/cos (radians (s.Dec) )) /#.) * (s.mjd_f-s.mjd) /#, s.Dec+ (s.pmdec/#.) * (s.mjd_f-s.mjd) /#, s.RAJ2#, s.DEJ2#) *#.< =# -- cone search #/arcsec INTO gaia_X_galex_test1"
2019-05-22 08:26:00,1
2019-05-22 08:27:00,1
2019-05-22 08:28:00,1
2019-05-22 08:29:00,1
2019-05-22 08:31:00,1
2019-05-22 08:32:00,1
2019-05-22 08:33:00,1
2019-05-22 08:34:00,1
2019-05-22 08:35:00,1
2019-05-22 08:37:00,1
2019-05-22 08:38:00,1
2019-05-22 08:39:00,1
2019-05-22 08:40:00,1
2019-05-22 08:41:00,1
2019-05-22 08:43:00,1
2019-05-22 08:44:00,1
2019-05-22 08:45:00,1
2019-05-22 08:46:00,1
2019-05-22 08:47:00,1
2019-05-22 12:08:00,1
2019-05-22 12:09:00,1
2019-05-22 12:10:00,1
2019-05-22 12:11:00,1
2019-05-22 12:56:00,1
2019-05-23 05:54:00,1
2019-05-23 06:01:00,1
2019-05-23 06:23:00,1
2019-05-23 11:31:00,1
2019-05-23 12:15:00,1
2019-05-24 05:41:00,1
2019-05-27 06:12:00,1
2019-05-28 11:16:00,1
2019-05-28 11:22:00,1
2019-05-28 12:06:00,1
2019-05-28 12:08:00,1
2019-05-28 12:10:00,1
2019-05-28 12:11:00,1
2019-05-28 12:13:00,1
2019-05-28 12:15:00,1
2019-05-28 12:17:00,1
2019-05-28 12:18:00,1
2019-05-28 12:20:00,1
2019-05-28 12:22:00,1
2019-05-28 12:23:00,1
2019-05-28 12:25:00,1
2019-05-28 12:27:00,1
2019-05-28 12:28:00,1
2019-05-28 12:30:00,1
2019-05-28 12:32:00,1
2019-05-28 12:33:00,1
2019-05-28 12:35:00,1
2019-05-28 12:36:00,1
2019-05-28 12:38:00,1
2019-05-28 12:40:00,1
2019-05-28 12:41:00,1
