40,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.specobjid, s.class, s.z as redshift FROM PhotoObj As p JOIN SpecObj As s On s.bestobjid = p.objid WHERE p.ra between # and # and p.dec between # and #"
2019-10-28 19:22:00,1
2019-10-28 19:32:00,2
2019-10-28 19:33:00,3
2019-10-28 19:34:00,1
2019-10-28 19:35:00,1
2019-10-28 19:37:00,1
2019-10-28 19:39:00,1
2019-10-28 19:40:00,3
2019-10-28 19:45:00,2
2019-10-28 19:47:00,1
2019-10-30 18:00:00,1
2019-10-30 18:14:00,2
2019-10-30 18:15:00,1
2019-10-30 18:19:00,1
2019-10-30 18:20:00,2
2019-10-30 18:21:00,1
2019-10-30 18:34:00,2
2019-10-30 19:29:00,1
2019-10-30 19:33:00,1
2019-10-30 19:34:00,1
2019-10-30 19:45:00,1
2019-10-30 19:46:00,1
2019-10-30 19:47:00,1
2019-10-30 19:49:00,1
2019-11-01 18:32:00,1
2019-11-01 18:38:00,1
2019-11-01 18:39:00,1
2019-11-02 01:33:00,1
2019-11-02 04:45:00,1
2019-11-02 07:05:00,1
2019-11-04 21:17:00,1
