298,select * from Portfolio.budavari.Performance where hash = # order by date
2019-02-08 00:43:00,6
2019-02-08 00:44:00,12
2019-02-08 00:47:00,7
2019-02-08 00:48:00,1
2019-02-08 00:49:00,12
2019-02-08 00:50:00,6
2019-02-08 00:52:00,6
2019-02-08 00:53:00,10
2019-02-08 07:44:00,31
2019-02-08 08:55:00,24
2019-02-08 08:56:00,16
2019-02-13 11:11:00,4
2019-02-13 11:15:00,4
2019-02-18 09:11:00,1
2019-02-18 09:12:00,3
2019-02-18 09:43:00,3
2019-02-18 09:47:00,6
2019-02-18 09:50:00,3
2019-02-18 09:51:00,5
2019-02-18 10:10:00,3
2019-02-18 10:28:00,3
2019-02-18 10:29:00,26
2019-02-18 10:30:00,2
2019-02-18 10:33:00,23
2019-02-18 10:34:00,13
2019-02-18 10:35:00,18
2019-02-18 10:36:00,29
2019-02-18 10:37:00,21
