15,"SELECT u.up_name as name, x.objID, p.ra, p.dec, dbo.fPhotoTypeN (p.type) as type, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, s.z as redshift, p.modelMag_z FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN PhotoTag p ON p.objID = x.objID LEFT JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE p.type = # ORDER by x.up_id"
2019-06-12 16:26:00,1
2019-06-12 16:40:00,1
2019-06-12 16:48:00,1
2019-06-12 16:52:00,1
2019-06-12 16:55:00,1
2019-06-12 17:49:00,1
2019-06-12 17:55:00,1
2019-06-12 18:00:00,1
2019-06-12 18:03:00,1
2019-06-12 18:10:00,1
2019-06-12 18:15:00,1
2019-06-12 18:22:00,1
2019-06-12 20:43:00,1
2019-06-12 21:20:00,1
2019-06-12 21:29:00,1
