2,"SELECT TOP # n.objid, p.objid, p.ra, p.dec FROM fGetNearbyObjEq (#, #, #) as n INNER JOIN PhotoPrimary p ON n.objID = p.objID"
2019-02-13 01:48:00,1
2019-02-13 01:49:00,1
