2,"SELECT TOP #   ra, dec, modelMag_u , modelMag_g , modelMag_r,modelMag_i,modelMag_z, z into mydb.MyTable_# from SpecPhoto WHERE    z BETWEEN # AND #   AND dec BETWEEN # AND #   AND ra BETWEEN # AND #"
2019-09-27 11:26:00,1
2019-09-27 11:40:00,1
