11021,"SELECT TOP # p.objid,  p.run, p.rerun, p.camcol, p.field, p.obj,  p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,  p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID"
2019-09-27 00:00:00,22
2019-09-27 00:01:00,12
2019-09-27 00:02:00,2
2019-09-27 00:03:00,4
2019-09-27 00:04:00,20
2019-09-27 00:05:00,5
2019-09-27 00:06:00,5
2019-09-27 00:09:00,6
2019-09-27 00:10:00,22
2019-09-27 00:11:00,12
2019-09-27 00:12:00,2
2019-09-27 00:13:00,4
2019-09-27 00:14:00,19
2019-09-27 00:15:00,6
2019-09-27 00:16:00,5
2019-09-27 00:19:00,6
2019-09-27 00:20:00,22
2019-09-27 00:21:00,12
2019-09-27 00:22:00,2
2019-09-27 00:23:00,4
2019-09-27 00:24:00,19
2019-09-27 00:25:00,6
2019-09-27 00:26:00,5
2019-09-27 00:29:00,6
2019-09-27 00:30:00,22
2019-09-27 00:31:00,12
2019-09-27 00:32:00,2
2019-09-27 00:33:00,4
2019-09-27 00:34:00,19
2019-09-27 00:35:00,6
2019-09-27 00:36:00,5
2019-09-27 00:39:00,6
2019-09-27 00:40:00,22
2019-09-27 00:41:00,12
2019-09-27 00:42:00,2
2019-09-27 00:43:00,4
2019-09-27 00:44:00,19
2019-09-27 00:45:00,6
2019-09-27 00:46:00,5
2019-09-27 00:49:00,6
2019-09-27 00:50:00,22
2019-09-27 00:51:00,12
2019-09-27 00:52:00,2
2019-09-27 00:53:00,4
2019-09-27 00:54:00,19
2019-09-27 00:55:00,6
2019-09-27 00:56:00,5
2019-09-27 00:59:00,6
2019-09-27 01:00:00,22
2019-09-27 01:01:00,12
2019-09-27 01:02:00,2
2019-09-27 01:03:00,4
2019-09-27 01:04:00,19
2019-09-27 01:05:00,4
2019-09-27 01:06:00,5
2019-09-27 01:09:00,5
2019-09-27 01:10:00,23
2019-09-27 01:11:00,12
2019-09-27 01:12:00,2
2019-09-27 01:13:00,4
2019-09-27 01:14:00,19
2019-09-27 01:15:00,6
2019-09-27 01:16:00,5
2019-09-27 01:19:00,5
2019-09-27 01:20:00,23
2019-09-27 01:21:00,12
2019-09-27 01:22:00,2
2019-09-27 01:23:00,4
2019-09-27 01:24:00,19
2019-09-27 01:25:00,6
2019-09-27 01:26:00,5
2019-09-27 01:28:00,1
2019-09-27 01:29:00,5
2019-09-27 01:30:00,23
2019-09-27 01:31:00,12
2019-09-27 01:32:00,2
2019-09-27 01:33:00,4
2019-09-27 01:34:00,19
2019-09-27 01:35:00,6
2019-09-27 01:36:00,5
2019-09-27 01:39:00,5
2019-09-27 01:40:00,23
2019-09-27 01:41:00,12
