49,select distinct parent from DBViewCols where viewname=&&&
2019-07-25 02:32:00,1
2019-07-25 02:52:00,1
2019-07-25 04:39:00,1
2019-07-25 08:12:00,1
2019-07-25 08:55:00,1
2019-07-25 10:48:00,1
2019-07-25 10:50:00,1
2019-07-25 11:29:00,1
2019-07-25 11:34:00,2
2019-07-25 11:35:00,3
2019-07-25 14:03:00,1
2019-07-25 14:04:00,1
2019-07-25 14:07:00,3
2019-07-25 14:08:00,1
2019-07-25 15:34:00,2
2019-07-25 15:35:00,3
2019-07-25 15:36:00,1
2019-07-25 15:45:00,1
2019-07-25 15:46:00,1
2019-07-25 17:12:00,1
2019-07-25 17:13:00,2
2019-07-25 18:00:00,1
2019-07-25 18:05:00,1
2019-07-25 18:06:00,1
2019-07-25 18:42:00,2
2019-07-25 19:00:00,1
2019-07-25 19:25:00,2
2019-07-25 20:28:00,1
2019-07-25 22:56:00,1
2019-07-25 23:07:00,8
2019-07-25 23:09:00,1
