1688,"select specObjID, ra, dec, z, zErr, zWarning from dr1#.SpecObjAll where bestObjId =#or fluxObjID =#"
2019-07-25 06:56:00,23
2019-07-25 06:57:00,57
2019-07-25 06:58:00,59
2019-07-25 06:59:00,60
2019-07-25 07:00:00,52
2019-07-25 07:01:00,61
2019-07-25 07:02:00,61
2019-07-25 07:03:00,58
2019-07-25 07:04:00,60
2019-07-25 07:05:00,59
2019-07-25 07:06:00,60
2019-07-25 07:07:00,60
2019-07-25 07:08:00,58
2019-07-25 07:09:00,59
2019-07-25 07:10:00,59
2019-07-25 07:11:00,62
2019-07-25 07:12:00,62
2019-07-25 07:13:00,59
2019-07-25 07:14:00,59
2019-07-25 07:15:00,61
2019-07-25 07:16:00,62
2019-07-25 07:17:00,59
2019-07-25 07:18:00,59
2019-07-25 07:19:00,60
2019-07-25 07:20:00,62
2019-07-25 07:21:00,61
2019-07-25 07:22:00,59
2019-07-25 07:23:00,60
2019-07-25 07:24:00,57
