19,"SELECT TOP # fld.run, fld.avg_sky_muJy, fld.runarea AS area, ISNULL(fp.nfirstmatch,#)  FROM (   SELECT run, sum(primaryArea) AS runarea,  #e6*avg(power(cast(#. as float),#*sky_r)) as avg_sky_muJy  FROM Field  GROUP BY run  ) AS fld  LEFT OUTER JOIN (   SELECT p.run, count(*) AS nfirstmatch  FROM FIRST AS fm  INNER JOIN photoprimary as p  ON p.objid=fm.objid  GROUP BY p.run  ) AS fp  ON fld.run=fp.run  ORDER BY fld.run"
2019-07-25 00:37:00,1
2019-07-25 00:40:00,1
2019-07-25 00:42:00,1
2019-07-25 00:44:00,1
2019-07-25 00:55:00,1
2019-07-25 05:10:00,1
2019-07-25 06:14:00,1
2019-07-25 06:16:00,1
2019-07-25 06:19:00,1
2019-07-25 09:31:00,1
2019-07-25 09:34:00,1
2019-07-25 09:36:00,1
2019-07-25 20:45:00,1
2019-07-25 20:48:00,1
2019-07-25 20:50:00,1
2019-07-25 22:06:00,1
2019-07-25 22:09:00,1
2019-07-25 22:11:00,1
2019-07-25 23:05:00,1
