2,"select ra, dec, u, g, r, i, z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z from star where g < # and (ra between # and #) and (dec between # and #) and clean=#"
2019-07-25 19:29:00,1
2019-07-25 19:31:00,1
